product,indication_key,indication_label,geography,measure_type,value_low,value_point,value_high,unit,estimate_year,as_of_date,verbatim,source_doc,source_url,status,notes
Luxturna,RPE65,"biallelic RPE65-mediated inherited retinal disease (ICER candidate population, no viable-cell restriction)",US,gatekeeper_eligible,,1750,,prevalent eligible individuals,2018,2018-02-14,"The US population represents approximately 50.06% of the total population in the US and the five major European markets (Germany, France, Italy, Spain and the United Kingdom). Applying that proportion to the total of 3,500 patients results in an estimate of approximately 1,750 eligible individuals in the US.","ICER, Voretigene Neparvovec for Biallelic RPE65-Mediated Retinal Disease: Effectiveness and Value, Final Evidence Report, 14 Feb 2018, section 4.3 Potential Budget Impact",https://icer.org/wp-content/uploads/2020/10/MWCEPAC_VORETIGENE_FINAL_EVIDENCE_REPORT_02142018.pdf,verified-from-source,"ICER budget-impact candidate population = all US individuals with biallelic RPE65 IRD, derived from Spark's 10-K figure of 3,500 in US+EU5; no adjustment for 'sufficient viable retinal cells'. Text extracted from the PDF locally."
Luxturna,RPE65,biallelic RPE65-mediated IRD (ICER five-year spread of the prevalent pool),US,gatekeeper_eligible,,350,,patients eligible per year (prevalent pool / 5),2018,2018-02-14,"Assuming equal distribution over five years, this resulted in an estimate of 350 patients eligible for VN in the US per year.","ICER, Voretigene Neparvovec for Biallelic RPE65-Mediated Retinal Disease: Effectiveness and Value, Final Evidence Report, 14 Feb 2018, section 4.3 Potential Budget Impact",https://icer.org/wp-content/uploads/2020/10/MWCEPAC_VORETIGENE_FINAL_EVIDENCE_REPORT_02142018.pdf,verified-from-source,"Budget-impact convention (1,750 / 5), not an incidence estimate. ICER: 'the relatively small number of patients assumed to be treated per year (350)'. Actual US treated numbers (75 vials in 2018) were far below this."
Luxturna,RPE65,persons in the US with RPE65-mediated IRDs (manufacturer preliminary estimate as cited by ICER),US,prevalent_eligible,1000,,3000,persons,2017,2018-02-14,"Preliminary estimates from the manufacturer suggest that there are between 1,000 and 3,000 persons in the US with RPE65-mediated IRDs.","ICER, Voretigene Neparvovec for Biallelic RPE65-Mediated Retinal Disease: Effectiveness and Value, Final Evidence Report, 14 Feb 2018, section 1 Background",https://icer.org/wp-content/uploads/2020/10/MWCEPAC_VORETIGENE_FINAL_EVIDENCE_REPORT_02142018.pdf,verified-from-source,"ICER citing Spark (its reference 9). Wider than Spark's own 1,000-2,000 (3 Jan 2018 release, already in luxturna_disclosures.csv). Not restricted to viable retinal cells."
Luxturna,RPE65,individuals with RPE65-mediated inherited retinal diseases,"US and EU5 (Germany, France, Italy, Spain, UK)",company_addressable,,3500,,individuals,2017,2018-02-14,"we used inputs from a US Securities and Exchange Commission Form 10-K Annual Report by Spark Therapeutics, Inc., which estimated ""that there are approximately 3,500 individuals with RPE65-mediated inherited retinal diseases in the United States and the five major European markets.""","ICER, Voretigene Neparvovec for Biallelic RPE65-Mediated Retinal Disease: Effectiveness and Value, Final Evidence Report, 14 Feb 2018, section 4.3, quoting Spark Therapeutics Form 10-K",https://icer.org/wp-content/uploads/2020/10/MWCEPAC_VORETIGENE_FINAL_EVIDENCE_REPORT_02142018.pdf,verified-from-source,"Spark 10-K figure as quoted by ICER. By ICER's 50.06% population split this implies about 1,750 in the EU5 as well as 1,750 in the US."
Luxturna,RPE65,"LCA or RP with biallelic RPE65 mutations, GKV-insured (before viable-cell restriction)",Germany (GKV),prevalent_eligible,188,,655,GKV patients,2019,2019-10-17,"Die Zahlen basieren auf Praevalenzdaten von Patienten mit Leberscher kongenitaler Amaurose (LCA) und Retinitis pigmentosa (RP), jeweils mit biallelischen RPE65-Mutationen; es ergibt sich unter Beruecksichtigung der niedrigsten und hoechsten Praevalenz eine Spanne aus dem minimalen und maximalen Anteil von 188 bis 655 Patienten (im Mittel 355 Patienten).","G-BA, Tragende Gruende zum Beschluss ueber die Nutzenbewertung von Voretigen Neparvovec (Luxturna), 17 Oct 2019, section 2.2",https://www.g-ba.de/downloads/40-268-6053/2019-10-17_AM-RL-XII_Voretigen-Neparvovec_D-436_TrG_akt.pdf,verified-from-source,Manufacturer (Novartis) dossier figures adopted by G-BA; mean 355. GKV covers about 88% of the German population. Umlauts transliterated in verbatim.
Luxturna,RPE65,"label population incl. 'ausreichend lebensfaehige Netzhautzellen', GKV-insured",Germany (GKV),gatekeeper_eligible,100,,530,"GKV patients (prevalent, at launch)",2019,2019-10-17,"In einem naechsten Schritt findet der minimale und maximale Anteil behandelbarer Patienten Beruecksichtigung; die resultierende Patientenpopulation von ca. 100 bis 530 Patienten ergibt sich aus dem zugelassenen Anwendungsgebiet, das auf diejenigen Patienten mit ""ausreichend lebensfaehigen Netzhautzellen"" einschraenkt. Die Berechnung des Umfangs der Zielpopulation liegt in der Gesamtschau in einer plausiblen Groessenordnung, ist jedoch mit Unsicherheiten behaftet.","G-BA, Tragende Gruende zum Beschluss ueber die Nutzenbewertung von Voretigen Neparvovec (Luxturna), 17 Oct 2019, section 2.2",https://www.g-ba.de/downloads/40-268-6053/2019-10-17_AM-RL-XII_Voretigen-Neparvovec_D-436_TrG_akt.pdf,verified-from-source,Official G-BA eligible count for Germany (statutory insurance). Prevalent pool at EU launch; G-BA calls the order of magnitude plausible but uncertain.
Luxturna,RPE65,"label population incl. sufficient viable retinal cells, GKV-insured (2019 figures retained)",Germany (GKV),gatekeeper_eligible,100,,530,GKV patients,2022,2022-09-15,"Den Angaben werden die Daten des pharmazeutischen Unternehmers aus dem Dossier der Erstbewertung von Voretigen Neparvovec aus dem Jahr 2019 zugrunde gelegt. [...] die resultierende Patientenpopulation von ca. 100 bis 530 Patientinnen und Patienten ergibt sich aus dem zugelassenen Anwendungsgebiet, das auf diejenigen Patientinnen und Patienten mit ""ausreichend lebensfaehigen Netzhautzellen"" einschraenkt.","G-BA, Tragende Gruende zum Beschluss (Neubewertung nach Fristablauf) Voretigen Neparvovec, 15 Sep 2022, section 2.2",https://www.g-ba.de/downloads/40-268-8823/2022-09-15_AM-RL-XII_Voretigen-Neparvovec_D-803_TrG.pdf,verified-from-source,"Re-assessment after the time limit. G-BA explicitly preferred the 2019 numbers over the newer figures in the 2022 dossier, which it judged more uncertain. No separate incident-flow figure given."
Luxturna,RPE65,adult and paediatric patients with vision loss due to IRD caused by confirmed biallelic RPE65 mutations with sufficient viable retinal cells (public drug plans),Canada,gatekeeper_eligible,,43,,"patients eligible, year 1 of sponsor budget-impact analysis",2021,2021-01-01,Number of patients eligible for the drug under review: 43 / 25 / 18,"CADTH Pharmacoeconomic Report: Voretigene Neparvovec (Luxturna), appendix 'Submitted Budget Impact Analysis and CADTH Appraisal', January 2021 (NCBI Bookshelf NBK569020)",https://www.ncbi.nlm.nih.gov/books/NBK569020/,verified-from-source,"Sponsor BIA years 1-3 = 43, 25, 18. Assumptions: prevalence of RP 0.025%; proportion of RP due to RPE65 mutation 1.404%; incidence of RP 0.0006%; prevalence of LCA 0.003%; proportion of LCA due to RPE65 6.80%; proportion of diagnosed patients with sufficient viable retinal cells 60%. Year 1 includes the prevalent backlog. CADTH reanalysis changed diagnosis rates but did not publish a parallel eligible-count table."
Luxturna,RPE65,as above,Canada,gatekeeper_eligible,,25,,"patients eligible, year 2 of sponsor BIA",2022,2021-01-01,Number of patients eligible for the drug under review: 43 / 25 / 18,"CADTH Pharmacoeconomic Report: Voretigene Neparvovec (Luxturna), appendix 'Submitted Budget Impact Analysis and CADTH Appraisal', January 2021 (NCBI Bookshelf NBK569020)",https://www.ncbi.nlm.nih.gov/books/NBK569020/,verified-from-source,Year 2 of the sponsor's three-year budget impact analysis.
Luxturna,RPE65,as above,Canada,gatekeeper_eligible,,18,,"patients eligible, year 3 of sponsor BIA",2023,2021-01-01,Number of patients eligible for the drug under review: 43 / 25 / 18,"CADTH Pharmacoeconomic Report: Voretigene Neparvovec (Luxturna), appendix 'Submitted Budget Impact Analysis and CADTH Appraisal', January 2021 (NCBI Bookshelf NBK569020)",https://www.ncbi.nlm.nih.gov/books/NBK569020/,verified-from-source,Year 3; approximates the steady-state annual flow (incident plus late-diagnosed) once the backlog is worked through.
