product,indication_key,indication_label,geography,measure_type,value_low,value_point,value_high,unit,estimate_year,as_of_date,verbatim,source_doc,source_url,status,notes
Adstiladrin (nadofaragene firadenovec-vncg),NMIBC_BCGunresp_CIS,adult patients with high-risk BCG-unresponsive NMIBC with carcinoma in situ (CIS) with or without papillary tumors,US,label_indication,,,,,2022,2025,adult patients with high-risk bacillus Calmette-Guérin (BCG)-unresponsive non-muscle invasive bladder cancer (NMIBC) with carcinoma in situ (CIS),FDA Approval Summary: Nadofaragene firadenovec-vncg for BCG-unresponsive NMIBC (PMC11961324),https://pmc.ncbi.nlm.nih.gov/articles/PMC11961324/,verified-from-source,"FDA approval 16 Dec 2022. Label scope row, no number. The FDA approval summary gives no national incidence figures."
Adstiladrin (nadofaragene firadenovec-vncg),NMIBC_BCGunresp_CIS,"all bladder cancer (base population, not label-restricted)",US,incidence_rate,,82000,,new bladder cancer diagnoses per year,2023,2023,"The National Cancer Institute estimates that more than 82,000 patients will be diagnosed with bladder cancer in 2023, of which an estimated 70% will be diagnosed with non-muscle-invasive bladder cancer (NMIBC), and approximately 10% of that patient population will have carcinoma in situ (CIS). Additionally, more than 50% of patients who receive initial treatment with BCG will experience disease recurrence and progression within one year, with many developing BCG-unresponsive disease.","Ferring Pharmaceuticals USA press release, NCCN guideline update for ADSTILADRIN in BCG-unresponsive NMIBC (search snippet; page returned HTTP 403)",https://ferringusa.com/?press=ferring-announces-update-to-nccn-guidelines-expanding-category-2a-recommendation-for-nadofaragene-firadenovec-vncg-adstiladrin-in-patients-with-bcg-unresponsive-nmibc,provisional-from-snippet,"Population base = all US bladder cancer; NCI 2023 estimate as quoted by Ferring. Exact release date not captured (BusinessWire id 20230912802578 suggests 12 Sep 2023). Company statement of the framing, not an eligible count."
Adstiladrin (nadofaragene firadenovec-vncg),NMIBC_BCGunresp_CIS,NMIBC with CIS at diagnosis (upper bound for label-eligible pool; BCG-unresponsive subset not applied),US,annual_incident_eligible,,5740,,patients per year,2023,2026-09-04,"(derived) 82,000 x 0.70 x 0.10 = 5,740",Derived from Ferring/NCI framing (row above),https://ferringusa.com/?press=ferring-announces-update-to-nccn-guidelines-expanding-category-2a-recommendation-for-nadofaragene-firadenovec-vncg-adstiladrin-in-patients-with-bcg-unresponsive-nmibc,derived,"Arithmetic: 82,000 bladder cancer diagnoses x 70% NMIBC x 10% with CIS = 5,740 NMIBC-with-CIS diagnoses per year. Overstates the label pool because only BCG-treated patients who become BCG-unresponsive qualify; understates slightly because CIS can emerge at recurrence. Treat as ceiling."
Adstiladrin (nadofaragene firadenovec-vncg),NMIBC_BCGunresp_CIS,BCG-unresponsive NMIBC with CIS (crude bracket),US,annual_incident_eligible,2870,,5740,patients per year,2023,2026-09-04,"(derived) low = 5,740 x 0.50 = 2,870; high = 5,740",Derived from Ferring/NCI framing and Ferring statement that more than 50% recur within one year after BCG,https://ferringusa.com/?press=ferring-announces-update-to-nccn-guidelines-expanding-category-2a-recommendation-for-nadofaragene-firadenovec-vncg-adstiladrin-in-patients-with-bcg-unresponsive-nmibc,derived,Weak bracket. Recurrence after BCG is not the same as BCG-unresponsive per FDA definition; the true label-eligible incident pool is probably below the low end. No published US eligible count found (Europe PMC query for BCG-unresponsive CIS per-year estimates returned no quantified abstract). Report as range only.
Adstiladrin (nadofaragene firadenovec-vncg),NMIBC_BCGunresp_CIS,BCG response and recurrence rates (rate inputs),US,incidence_rate,,70,,percent initial complete response to BCG; 5-year recurrence approx 40 percent,2025,2025,"BCG results in initial complete response (CR) in approximately 70% of patients, but 5-year rates of tumor recurrence are approximately 40%",FDA Approval Summary: Nadofaragene firadenovec-vncg (PMC11961324),https://pmc.ncbi.nlm.nih.gov/articles/PMC11961324/,verified-from-source,Rate inputs only; population base = BCG-treated high-risk NMIBC. Use with the NMIBC-with-CIS count above.
Adstiladrin (nadofaragene firadenovec-vncg),NMIBC_BCGunresp_CIS,adult patients with high-risk BCG-unresponsive NMIBC with carcinoma in situ (CIS) with or without papillary tumors,England,gatekeeper_eligible,,,,,,2026-09-04,,None retrieved,,not-found,"No NICE, G-BA or HAS figure retrieved for nadofaragene firadenovec (ferring.com global press release timed out twice; web search budget exhausted before a NICE appraisal for nadofaragene or pembrolizumab in BCG-unresponsive NMIBC could be checked)."
"Papzimeos (zopapogene imadenovec-drba, PRGN-2012)",RRP_adult,adults with recurrent respiratory papillomatosis (RRP),US,label_indication,,,,,2025,2026-03-25,"FDA granted full approval to our product, Papzimeos (zopapogene imadenovec-drba, PRGN-2012), for the treatment of adults with recurrent respiratory papillomatosis (RRP).","Precigen, Inc. Form 10-K for fiscal year 2025 (filed 25 Mar 2026)",https://www.sec.gov/Archives/edgar/data/1356090/000135609026000009/pgen-20251231.htm,verified-from-source,FDA approval August 2025. No severity restriction in the label. Pivotal trial baseline: median 4 surgeries in prior 12 months (range 3 to 10).
"Papzimeos (zopapogene imadenovec-drba, PRGN-2012)",RRP_adult,adults with recurrent respiratory papillomatosis (RRP),US,company_addressable,,27000,,prevalent adults with RRP,2025,2025-02-25,"estimated at more than 27,000 adults in the US","Precigen press release, FDA Grants Priority Review to Precigen's BLA for PRGN-2012 (25 Feb 2025)",https://www.prnewswire.com/news-releases/fda-grants-priority-review-to-precigens-bla-for-prgn-2012-for-the-treatment-of-adults-with-recurrent-respiratory-papillomatosis-with-pdufa-target-action-date-set-for-august-27-2025-302384347.html,verified-from-source,"Prevalent pool (chronic condition); 'more than' so 27,000 is a floor. Same figure appears on investors.precigen.com version of the release (fetch timed out)."
"Papzimeos (zopapogene imadenovec-drba, PRGN-2012)",RRP_adult,adults with recurrent respiratory papillomatosis (RRP),US,company_addressable,,27000,,prevalent adults with RRP,2025,2026-03-25,"We estimate that there are approximately 27,000 adults patients in the United States living with RRP.","Precigen, Inc. Form 10-K for fiscal year 2025 (filed 25 Mar 2026)",https://www.sec.gov/Archives/edgar/data/1356090/000135609026000009/pgen-20251231.htm,verified-from-source,"Prevalent pool, whole label population. 10-K gives no severe-disease subset and no count of patients treated since launch ('early demand is consistent with internal expectations')."
"Papzimeos (zopapogene imadenovec-drba, PRGN-2012)",RRP_adult,severe RRP subset (frequent surgeries),US,company_addressable,,,,,2025,2026-09-04,None retrieved,,,not-found,Precigen's stated severe subset was not found in the priority-review release or the FY2025 10-K; search budget exhausted before the approval-day release or investor deck could be checked.
Provenge (sipuleucel-T),mCRPC_asymp,asymptomatic or minimally symptomatic metastatic castrate-resistant (hormone-refractory) prostate cancer,England,gatekeeper_eligible,,4600,,patients eligible per licence,2014,2014-10-16,"Around 4,600 patients in England would be eligible for treatment as per its licence.","PharmaTimes, Dendreon's Provenge too expensive for NHS use, says NICE (16 Oct 2014), reporting the NICE appraisal consultation for TA332","https://pharmatimes.com/news/dendreons_provenge_too_expensive_for_nhs_use,_says_nice_1002635/",provisional-from-snippet,"Secondary source read in full; NICE TA332 documents not retrievable (nice.org.uk HTTP 403, web.archive.org blocked). Final guidance TA332 (Feb 2015) did not recommend sipuleucel-T. Figure appears to be a prevalent licence-eligible pool rather than annual incident."
Provenge (sipuleucel-T),mCRPC_asymp,asymptomatic or minimally symptomatic metastatic (non-visceral) castration-resistant prostate cancer in which chemotherapy is not yet clinically indicated,Germany,gatekeeper_eligible,13510,,25938,GKV-insured patients in the target population,2014,2015-03-19,Der G-BA legt dem Beschluss die vom IQWiG in der Nutzenbewertung angegebenen Spanne von 13510 bis 25938 GKV-Versicherte in der Zielpopulation zugrunde.,"G-BA, Tragende Gruende zum Beschluss ueber eine Aenderung der Arzneimittel-Richtlinie Anlage XII: Sipuleucel-T, vom 19. Maerz 2015",https://www.g-ba.de/downloads/40-268-3155/2015-03-19_AM-RL-XII_Sipuleucel-T_2014-10-01-D-139_TrG.pdf,verified-from-source,Prevalent GKV pool (about 88-90% of German population). Estimate year taken as dossier year 2014. Text extracted locally with pypdf from the G-BA PDF.
Provenge (sipuleucel-T),mCRPC_asymp,asymptomatic or minimally symptomatic metastatic castrate-resistant (hormone-refractory) prostate cancer,Germany,company_addressable,15000,,28800,GKV-insured patients in the target population,2014,2015-03-19,"Bei der vom pharmazeutischen Unternehmer im Dossier angegebene Spanne an Patientenzahlen (15000 bis 28800) ist von einer Ueberschaetzung der Zielpopulation auszugehen, da fuer die Berechnung der Praevalenz auch die Patienten mit viszeraler Metastasierung beruecksichtigt worden sind.","G-BA, Tragende Gruende, Sipuleucel-T, 19 Maerz 2015",https://www.g-ba.de/downloads/40-268-3155/2015-03-19_AM-RL-XII_Sipuleucel-T_2014-10-01-D-139_TrG.pdf,verified-from-source,Dendreon dossier range; G-BA states it overestimates because visceral metastases were included. Use the IQWiG range as the gatekeeper figure.
