product,indication_key,indication_label,geography,measure_type,value_low,value_point,value_high,unit,estimate_year,as_of_date,verbatim,source_doc,source_url,status,notes
Elevidys,DMD_4plus_all,"Duchenne muscular dystrophy, all patients 4 years and older (label June 2024 to November 2025, ambulatory and non-ambulatory); base prevalence, males aged 5-24",US,prevalence_rate,,1.02,,"DMD cases per 10,000 males aged 5-24 (point prevalence, 2010); DBMD combined 1.38",2010,2015-03-01,"In 2010, prevalence of DBMD was 1.38 per 10 000 male individuals, ages 5 to 24 years.","Romitti PA, Zhu Y, Puzhankara S, et al. Prevalence of Duchenne and Becker muscular dystrophies in the United States. Pediatrics 2015;135(3):513-521 (MD STARnet, 6 US sites)",https://pmc.ncbi.nlm.nih.gov/articles/PMC4477633/,verified-from-source,"Abstract read via Europe PMC; phenotype split read in the PMC full text: DMD 1.02 and BMD 0.36 per 10,000 males aged 5-24 in 2010; 543 of 765 definite/probable cases (71%) were DMD. Denominator 3,827,532 males aged 5-24 across the 6 sites. Only US population-based DMD prevalence available; CDC data pages (cdc.gov/muscular-dystrophy) blocked to fetch."
Elevidys,DMD_4plus_all,"Duchenne muscular dystrophy, prevalent US males aged 5-24 (proxy for the 4-and-older label pool)",US,prevalent_eligible,4481,,6063,"prevalent pool (patients alive, males aged 5-24)",2024,2025-06-01,"In 2010, prevalence of DBMD was 1.38 per 10 000 male individuals, ages 5 to 24 years.",Derived from Romitti 2015 (MD STARnet) prevalence and US Census Bureau Vintage 2024 national population estimates by single year of age and sex (NC-EST2024-AGESEX-RES),https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/national/asrh/nc-est2024-agesex-res.csv,derived,"Arithmetic: US males aged 5-24 on 1 July 2024 = 43,934,374 (Census file, SEX=1, ages 5-24 summed). Low = 1.02/10,000 x 43,934,374 = 4,481 (DMD phenotype only). High = 1.38/10,000 x 43,934,374 = 6,063 (DMD+BMD; Becker is not an Elevidys indication so this is an upper bound). Excludes 4-year-olds (about 1/20 of the 5-24 cohort, roughly +220) and adults 25+ (small, poorly counted). Prevalence is 2010 vintage; corticosteroid and ventilation use have lengthened survival since, so the true 4+ pool is probably somewhat larger."
Elevidys,DMD_4plus_all,"People living with Duchenne in the United States (advocacy estimate, all ages)",US,prevalent_eligible,,15000,,"prevalent pool (people living with Duchenne, all ages, approximate)",2026,2026-09-05,"According to Parent Project Muscular Dystrophy, around 15,000 young men and a small number of young women are currently living with Duchenne in the United States.","Parent Project Muscular Dystrophy, About Duchenne (web page, accessed 5 Sep 2026)",https://www.parentprojectmd.org/about-duchenne/,verified-from-source,"Same page: ""Duchenne muscular dystrophy affects approximately 1 in every 5,000 boys, with an estimated 20,000 children born with the condition worldwide each year."" The 15,000 figure is 2.5-3x the MD STARnet-based 5-24 pool (4,481-6,063); treat 15,000 as an all-ages upper bound and the MD STARnet figure as a lower bound."
Elevidys,DMD_4plus_all,"DMD birth incidence, US (MDA)",US,incidence_rate,"1 in 5,000",,"1 in 3,500",male births (rate),2026,2026-09-05,"DMD occurs in approximately 1 in 3,500 to 5,000 male births.","Muscular Dystrophy Association, Duchenne Muscular Dystrophy (DMD) disease page (accessed 5 Sep 2026)",https://www.mda.org/disease/duchenne-muscular-dystrophy,verified-from-source,"MDA page cites Romitti 2015 as its source. Applied to 1,846,708 US male births/age-0 males (Census Vintage 2024) this gives 369-528 DMD births per year, consistent with the existing E3a derived row (364-557)."
Elevidys,DMD_4plus_all,"DMD point prevalence and birth prevalence, systematic review (USA point prevalence)",US,prevalence_rate,,1.9,,"DMD cases per 100,000 males (point prevalence, USA study in review); birth prevalence 15.9-19.5 per 100,000 live births",2015,2017-04-26,"Birth prevalence ranged from 15.9 to 19.5 per 100,000 live births. Point prevalence per 100,000 males was for France, USA, UK and Canada, 10.9, 1.9, 2.2 and 6.1 respectively. ... Loss of ambulation occurred at a median age of 12 and ventilation starts at about 20 years.","Ryder S, Leadley RM, Armstrong N, et al. The burden, epidemiology, costs and treatment for Duchenne muscular dystrophy: an evidence review. Orphanet J Rare Dis 2017;12:79",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=AUTH:Ryder%20AND%20TITLE:%22burden%2C%20epidemiology%2C%20costs%22%20Duchenne&format=json&resultType=core,verified-from-source,"Abstract read via Europe PMC REST (PMID 28446219, PMC5405509); the publisher page redirects to a Springer login. The 1.9 per 100,000 US figure is an all-male-ages point prevalence and is far below MD STARnet 5-24 (10.2 per 100,000); the review itself flags evidence gaps in prevalence. Median loss of ambulation at 12 years is the key input for the ambulatory/non-ambulatory split."
Elevidys,DMD_4plus_amb,"Share of US males with Duchenne (under 35) who are ambulatory (Duchenne Registry, 2007-2016)",US,prevalence_rate,,59.3,,percent of registry participants (ambulatory share),2016,2019-05-02,"Among males with Duchenne, mean age (SD) was 11.3 (6.5) years, the majority (88.9%) were less than 20 years old and Caucasian (87.2%), and most individuals were ambulatory (59.3%), with 40.0% nonambulatory. The mean age (SD) of onset for full-time use of a scooter/wheelchair was 10.8 (2.5) years.","Cowen L, Mancini M, Martin A, Lucas A, Donovan JM. Variability and trends in corticosteroid use by male United States participants with Duchenne muscular dystrophy in the Duchenne Registry. BMC Neurology 2019;19:84",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6498563/fullTextXML,verified-from-source,"Table 1: ambulatory 892 (59.3%), nonambulatory 602 (40.0%), infant not yet walking 11 (0.7%) of 1,505 US males with Duchenne under 35 (self/parent-reported, PPMD registry). Registry skews young (mean age 11.3) so the ambulatory share of the true 4+ population is probably lower than 59%. Best US split found; no Sarepta statement of the ambulatory share was located."
Elevidys,DMD_4plus_nonamb,"Share of US males with Duchenne (under 35) who are non-ambulatory (Duchenne Registry, 2007-2016)",US,prevalence_rate,,40.0,,percent of registry participants (non-ambulatory share),2016,2019-05-02,Nonambulatory Use a wheelchair/other mobility device and rarely/ never walk 602 (40.0),"Cowen L, Mancini M, Martin A, Lucas A, Donovan JM. Variability and trends in corticosteroid use by male United States participants with Duchenne muscular dystrophy in the Duchenne Registry. BMC Neurology 2019;19:84",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6498563/fullTextXML,verified-from-source,"Table 1 of the paper. Non-ambulatory patients were covered by the Elevidys label only from June 2024 to November 2025 (accelerated approval, removed from Indications after two ALF deaths; shipments to non-ambulatory patients suspended from June 2025)."
Elevidys,DMD_4plus_amb,"Ambulatory DMD patients aged 4 and older, US (label from June 2024 and again from November 2025)",US,prevalent_eligible,2657,,8895,prevalent pool (patients alive),2024,2026-09-05,"most individuals were ambulatory (59.3%), with 40.0% nonambulatory","Derived from Romitti 2015 x Census 2024 (this file), PPMD ~15,000 (this file) and the Duchenne Registry ambulatory share (Cowen 2019)",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6498563/fullTextXML,derived,"Arithmetic: 59.3% x 4,481 (MD STARnet DMD-only, males 5-24) = 2,657 (low); 59.3% x 6,063 (DBMD upper bound) = 3,595 (mid); 59.3% x 15,000 (PPMD all-ages) = 8,895 (high). Before anti-AAVrh74 antibody screening (titre >= 1:400 excluded) and prior-treatment attrition. The existing E3a provisional row (80% of the addressable ambulatory population untreated, Sarepta CEO) is consistent with a pool in the low thousands."
Elevidys,DMD_4plus_nonamb,"Non-ambulatory DMD patients aged 4 and older, US (label June 2024 to November 2025 only)",US,prevalent_eligible,1792,,6000,prevalent pool (patients alive),2024,2026-09-05,"most individuals were ambulatory (59.3%), with 40.0% nonambulatory","Derived from Romitti 2015 x Census 2024 (this file), PPMD ~15,000 (this file) and the Duchenne Registry non-ambulatory share (Cowen 2019)",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6498563/fullTextXML,derived,"Arithmetic: 40.0% x 4,481 = 1,792 (low); 40.0% x 6,063 = 2,425 (mid); 40.0% x 15,000 = 6,000 (high). DMD_4plus_all = amb + nonamb: 4,481-15,000. Registry under-represents adults, so the non-ambulatory share of the real population is likely above 40%."
Elevidys,DMD_4plus_all,Sarepta statement of the US addressable Elevidys population after the June 2024 label expansion,US,company_addressable,,,,patients (prevalent pool),2024,2026-03-02,ELEVIDYS received traditional approval by the FDA in June 2024 for the treatment of ambulatory patients at least four years old with Duchenne with a confirmed mutation in the Duchenne gene. ELEVIDYS was also approved for non-ambulatory patients under the accelerated approval pathway in June 2024.,"Sarepta Therapeutics Form 10-K for FY2025 (filed 2 Mar 2026); Sarepta 8-K Ex-99.1 earnings releases of 13 Jan 2025, 26 Feb 2025, 3 Nov 2025 and 25 Feb 2026 (all full-text grepped)",https://www.sec.gov/Archives/edgar/data/873303/000119312526084144/srpt-20251231.htm,not-found,"None of the Sarepta SEC filings state a US DMD patient count or an addressable-population figure for Elevidys (the 10-K gives prevalent populations only for FSHD ~13,000 and DM1 ~30,000). SEC full-text search for ""Duchenne"" + ""addressable"" in Sarepta 8-Ks 2024-2026 returned 0 hits. Sarepta IR site (investorrelations.sarepta.com), BioSpace and BusinessWire were unreachable from this environment (curl wrote nothing; WebFetch timed out/empty). A search summary attributed ""DMD population estimated at around 14,000, including ambulatory and non-ambulatory patients"" to BioSpace coverage of the June 2024 approval, but the page could not be opened, so it is not recorded as a value."
