product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Hemgenix,list_price,2022-11-22,US,3500000,USD per treatment,"FDA approves $3.5 million treatment for hemophilia, now the most expensive drug in the world",CNN Health 23 Nov 2022,https://www.cnn.com/2022/11/23/health/hemophilia-drug-hemgenix/,provisional-from-snippet,"Wholesale acquisition cost / list price confirmed by CSL Behring to media at FDA approval. No CSL primary web page found that states the number; CSL's own approval press release does not give a price."
Hemgenix,list_price,2022-11-23,US,3500000,USD per treatment,"Sporting a $3.5M price tag, CSL and uniQure's hemophilia B gene therapy crosses FDA finish line",FiercePharma 23 Nov 2022,https://www.fiercepharma.com/pharma/csl-and-uniqures-hemophilia-b-gene-therapy-scores-approval-35-million-price-tag,provisional-from-snippet,Corroborating trade-press report of the same $3.5m US list price. Article body not retrievable (HTTP 403); headline only.
Hemgenix,list_price,2024-11-20,US,3500000,USD per treatment,"List price: $3.5 million per treatment",BioProcess International 20 Nov 2024,https://www.bioprocessintl.com/therapeutic-class/csl-dedicated-to-hemgenix-as-it-turns-back-on-lenti-based-gene-therapies,provisional-from-snippet,Page read in full; confirms the $3.5m US list price was still current in late 2024.
Hemgenix,list_price,2025-06,UK,2600000,GBP per dose,"Hemgenix is marketed at a list price of £2.6 million per dose","PET / pharmaphorum coverage of NICE managed access recommendation",https://www.progress.org.uk/nhs-funding-approved-for-haemophilia-b-gene-therapy/,provisional-from-snippet,"NHS pays an undisclosed confidential discount under an outcomes-based managed access agreement with NICE/NHS England, so £2.6m is list, not net. Approx USD 3.3m at 2025 rates."
Hemgenix,list_price,2024,Germany/EU,3000000,EUR per treatment,"In Germany and other EU countries, the cost of treatment is upwards of €3 million","pharmaphorum, Germany will reimburse haemophilia gene therapy Hemgenix",https://pharmaphorum.com/news/germany-will-reimburse-haemophilia-gene-therapy-hemgenix,provisional-from-snippet,"Reported ex-US price; Germany uses an outcomes-based reimbursement model so realised price is lower. Snippet only - full article not read."
Hemgenix,patients_cumulative,2023-06-20,US,1,patients,"CSL Behring Announces the First Patient Has Received FDA-Approved HEMGENIX (etranacogene dezaparvovec-drlb) for Hemophilia B",CSL newsroom press release 20 Jun 2023,https://newsroom.csl.com/2023-06-20-CSL-Behring-Announces-the-First-Patient-Has-Received-FDA-Approved-HEMGENIX-R-etranacogene-dezaparvovec-drlb-for-Hemophilia-B,verified-from-source,"Start of US commercial dosing, ~7 months after FDA approval. Anchors the launch curve at zero for FY2023."
Hemgenix,patients_cumulative,2024-07-04,Europe,2,patients,"CSL Behring Announces First Two Patients Treated with HEMGENIX (etranacogene dezaparvovec) Gene Therapy for Hemophilia B in Europe",CSL Behring press release 4 Jul 2024 (GlobeNewswire),https://www.globenewswire.com/news-release/2024/07/04/2908549/0/en/CSL-Behring-Announces-First-Two-Patients-Treated-with-HEMGENIX-etranacogene-dezaparvovec-Gene-Therapy-for-Hemophilia-B-in-Europe.html,verified-from-source,"First EU commercial patients, ~15 months after EU approval. Confirms EU contribution to FY2024 revenue was essentially nil."
Hemgenix,patients_cumulative,2024-06-30,Global,12,patients,"Hemgenix only treated 12 patients during the 12 months that ended in June 2024",FiercePharma (Pfizer backs out of hemophilia gene therapy space),https://www.fiercepharma.com/pharma/pfizer-backs-out-hemophilia-gene-therapy-csl-hopes-hemgenix-here-stay,provisional-from-snippet,"Period count for CSL FY2024, not strictly cumulative. Article body returned HTTP 403; figure captured from search-engine snippet only. 12 x $3.5m = $42m vs derived FY2024 revenue ~$32m - consistent order of magnitude, discrepancy plausibly net-vs-list price and ex-US pricing."
Hemgenix,patients_cumulative,2024-08,Global,20,patients (fewer than),"less than 20 patients through August 2024","Recon Strategy, Commercial performance of AAV gene therapies, 5 Feb 2025",https://reconstrategy.com/2025/02/commercial-performance-of-aav-gene-therapies-market-review-and-future-implications/,provisional-from-snippet,"Analyst estimate; article read in full. Upper bound on cumulative commercial patients ~21 months after US launch."
Hemgenix,patients_cumulative,2025-11,US,50,patients (more than),"In the U.S., more than 50 patients have been treated, more than 65 administration sites have been trained, and major payers now cover more than 80% of U.S. commercial lives.",Cell & Gene interview with Diego Sacristan SVP Head of U.S. CSL (published 12 Dec 2025),https://www.cellandgene.com/doc/csl-s-hemgenix-shows-durable-benefit-a-new-future-for-gene-therapy-in-hemophilia-b-0001,provisional-from-snippet,"Statement by a named CSL executive but carried in trade press, not a CSL filing. US-only cumulative commercial count. Page read in full."
Hemgenix,centres,2025-11,US,65,administration sites (more than),"more than 65 administration sites have been trained",Cell & Gene interview with Diego Sacristan SVP Head of U.S. CSL (published 12 Dec 2025),https://www.cellandgene.com/doc/csl-s-hemgenix-shows-durable-benefit-a-new-future-for-gene-therapy-in-hemophilia-b-0001,provisional-from-snippet,Same CSL executive statement. Trained sites - not all have dosed a patient.
Hemgenix,centres,2025-12,US,64,centers trained,"Sixty-four centers have so far been trained on Hemgenix administration in the U.S.",FiercePharma ASH coverage Dec 2025,https://www.fiercepharma.com/pharma/ash-csl-proves-hemophilia-b-gene-therapy-hemgenix-holds-after-5-years-post-dosing,provisional-from-snippet,"Article body returned HTTP 403; figure from search-engine snippet. Broadly agrees with the 'more than 65' CSL executive figure."
Hemgenix,patients_cumulative,2026-03-23,US,52,patients,"In the U.S., Steve is the 52nd patient treated after clinical studies.",Karmanos Cancer Institute press release 23 Mar 2026 (PR Newswire),https://www.prnewswire.com/news-releases/karmanos-cancer-institute-becomes-first-and-only-free-standing-cancer-center-to-treat-hemophilia-b-with-new-gene-therapy-302720315.html,provisional-from-snippet,"Strongest single US calibration point: exact cumulative US commercial patient ordinal. Third-party (treating hospital) press release, read in full, not a CSL/uniQure document. 52 x $3.5m = $182m cumulative US list-price value."
