product,period,region,revenue_musd,currency,source_doc,source_url,status,notes
Hemgenix,FY2023 (12m to 30 Jun 2023),Global,,USD,CSL FY23 Results Presentation (13 Aug 2023) - Appendix A CSL Behring Key Products,https://investors.csl.com/pdf/a3d2b8d7-dd1c-4259-a846-bba6fe063bef/CSL-Results-Announcement.pdf,not-disclosed,"Hemgenix not listed in CSL key-product table. First US commercial patient dosed 20 Jun 2023, so FY23 commercial sales effectively nil."
Hemgenix,FY2024 (12m to 30 Jun 2024),Global,,USD,CSL FY24 Results Presentation 13 Aug 2024 - Appendix A CSL Behring Key Products,https://investors.csl.com/pdf/78576f85-4598-455b-80c1-16c391c56445/Results-Presentation.pdf?Platform=ListPage,not-disclosed,"Read full appendix table (Privigen 3624 / Hizentra 1961 / Albumin 1209 / Idelvion 777 / Kcentra 702 / Haegarda 491 / Berinert 242 / Haemocomplettan 233 / Humate 184 / Haemate 118). Hemgenix absent - below CSL disclosure threshold. Haemophilia therapy group total $1,313m (FY24 recombinants coag $883m + plasma coag $398m)."
Hemgenix,FY2024 (12m to 30 Jun 2024),Global,31.8,USD,Derived from CSL FY25 Results Presentation Appendix A (FY25 $92m at +189% constant currency),https://investors.csl.com/pdf/c72789c6-778d-4b88-8657-be40cf97e2b3/CSL-Results-Presentation.pdf,derived,"Back-calculated: 92 / 2.89 = 31.8. Growth rate is constant-currency so this is approximate."
Hemgenix,FY2025H1 (6m to 31 Dec 2024),Global,,USD,CSL Half Year Results Investor Presentation 11 Feb 2025 - Appendix CSL Behring Key Products,https://investors.csl.com/pdf/620d5c37-52cd-42d2-998d-074edae85026/CSL-Half-Year-Results-Investor-Presentation.pdf,not-disclosed,"Read full appendix table (Idelvion 413 / Kcentra 293 / Haegarda 247 / Berinert 127 / Haemocomplettan 119 / Humate 99 / Haemate 66). Hemgenix absent. Narrative only: 'HEMGENIX uptake accelerating'."
Hemgenix,FY2025H1 (6m to 31 Dec 2024),Global,49.1,USD,Derived from CSL H1 FY26 Investor Presentation Appendix A (H1 FY26 $57m at +16% constant currency),https://investors.csl.com/pdf/b30755df-b842-48c2-96ed-0075efe35fc0/CSL-Half-Year-Results-Investor-Presentation.pdf?Platform=ListPage,derived,"Back-calculated: 57 / 1.16 = 49.1. Constant-currency growth so approximate."
Hemgenix,FY2025 (12m to 30 Jun 2025),Global,92,USD,CSL FY2025 Results Presentation 19 Aug 2025 - Appendix A CSL Behring Key Products (FY25 Revenue By Therapy Group $m),https://investors.csl.com/pdf/c72789c6-778d-4b88-8657-be40cf97e2b3/CSL-Results-Presentation.pdf,verified-from-source,"Table row: 'Hemgenix | Haemophilia | 92 | 189%'. Growth % is constant currency vs pcp. Haemophilia therapy group total $1,488m (+13%). First year CSL broke Hemgenix out as a key product."
Hemgenix,FY2025H2 (6m to 30 Jun 2025),Global,42.9,USD,Derived: FY2025 $92m minus derived H1 FY2025 $49.1m,https://investors.csl.com/pdf/c72789c6-778d-4b88-8657-be40cf97e2b3/CSL-Results-Presentation.pdf,derived,Arithmetic residual; inherits error from the derived H1 figure.
Hemgenix,FY2026H1 (6m to 31 Dec 2025),Global,57,USD,CSL Half Year Results Investor Presentation 11 Feb 2026 - Appendix CSL Behring Key Products,https://investors.csl.com/pdf/b30755df-b842-48c2-96ed-0075efe35fc0/CSL-Half-Year-Results-Investor-Presentation.pdf?Platform=ListPage,verified-from-source,"Table row: 'Hemgenix | Haemophilia | 57 | 16%'. Haemophilia therapy group $746m."
Hemgenix,FY2026H1 (6m to 31 Dec 2025),US and Europe,,USD,CSL Half Year Results Announcement 11 Feb 2026 (ASX),https://investors.csl.com/pdf/753b8b95-2309-44f3-83e6-d796717a5575/CSL-Half-Year-Results-Announcement.pdf?Platform=ListPage,verified-from-source,"Verbatim: 'Haemophilia product sales of $746 million were stable. IDELVION achieved growth of 1% while there was continued strong growth of HEMGENIX sales in the U.S. and Europe of 16%.' Growth only - no separate dollar figure in the announcement."
Hemgenix,FY2026 (12m to 30 Jun 2026),Global,118,USD,CSL FY2026 Results Presentation 18 Aug 2026 - Appendix A CSL Behring Key Products (FY26 Revenue By Therapy Group $m),https://investors.csl.com/pdf/3d18fc4f-6133-41c7-9188-ec992e930ca3/Platform/ListPage/CSL-Results-Presentation-for-FY2026.pdf,verified-from-source,"Table row: 'Hemgenix | Haemophilia | 118 | 25%'. Slide also: 'Haemophilia 1,515 (1%) - Strong growth in HEMGENIX up 25% - Decline in legacy FVIII portfolio'. Latest reported period."
