product,period,region,revenue_musd,currency,source_doc,source_url,status,notes
Imlygic,2015Q4,Total,,USD,"Amgen 8-K Ex-99.1, Fourth Quarter and Full Year 2016 Financial Results (2017-02-02), Product Sales Detail by Product and Geographic Region",https://www.sec.gov/Archives/edgar/data/318154/000119312517029270/d321688dex991.htm,not-disclosed,"IMLYGIC has no line of its own; it is inside 'Other'/'Other products' (US and ROW) in Amgen's Product Sales Detail table. Q4 2016 release table rows: ENBREL, Neulasta, Aranesp, Prolia, Sensipar/Mimpara, XGEVA, EPOGEN, KYPROLIS, NEUPOGEN, Nplate, Vectibix, Repatha, BLINCYTO, Other; footnote: 'Other includes MN Pharma, Bergamo, IMLYGIC and Corlanor'. Other row Q4 2016: US 19, ROW 56, total 75; FY2016 total 250 (US 60, ROW 190). This specific quarter's release was read."
Imlygic,2016Q1,Total,,USD,"Amgen 8-K Ex-99.1, Fourth Quarter and Full Year 2016 Financial Results (2017-02-02), Product Sales Detail by Product and Geographic Region",https://www.sec.gov/Archives/edgar/data/318154/000119312517029270/d321688dex991.htm,not-disclosed,"IMLYGIC has no line of its own; it is inside 'Other'/'Other products' (US and ROW) in Amgen's Product Sales Detail table. Q4 2016 release table rows: ENBREL, Neulasta, Aranesp, Prolia, Sensipar/Mimpara, XGEVA, EPOGEN, KYPROLIS, NEUPOGEN, Nplate, Vectibix, Repatha, BLINCYTO, Other; footnote: 'Other includes MN Pharma, Bergamo, IMLYGIC and Corlanor'. Other row Q4 2016: US 19, ROW 56, total 75; FY2016 total 250 (US 60, ROW 190). This specific quarter's release was not read; the not-disclosed status is inferred from the three releases read (Q4 2016, Q4 2020, Q2 2026) and from the EDGAR full-text pattern (every quarterly release and every 10-K pairs IMLYGIC only with the Other footnote)."
Imlygic,2016Q2,Total,,USD,"Amgen 8-K Ex-99.1, Fourth Quarter and Full Year 2016 Financial Results (2017-02-02), Product Sales Detail by Product and Geographic Region",https://www.sec.gov/Archives/edgar/data/318154/000119312517029270/d321688dex991.htm,not-disclosed,"IMLYGIC has no line of its own; it is inside 'Other'/'Other products' (US and ROW) in Amgen's Product Sales Detail table. Q4 2016 release table rows: ENBREL, Neulasta, Aranesp, Prolia, Sensipar/Mimpara, XGEVA, EPOGEN, KYPROLIS, NEUPOGEN, Nplate, Vectibix, Repatha, BLINCYTO, Other; footnote: 'Other includes MN Pharma, Bergamo, IMLYGIC and Corlanor'. Other row Q4 2016: US 19, ROW 56, total 75; FY2016 total 250 (US 60, ROW 190). This specific quarter's release was not read; the not-disclosed status is inferred from the three releases read (Q4 2016, Q4 2020, Q2 2026) and from the EDGAR full-text pattern (every quarterly release and every 10-K pairs IMLYGIC only with the Other footnote)."
Imlygic,2016Q3,Total,,USD,"Amgen 8-K Ex-99.1, Fourth Quarter and Full Year 2016 Financial Results (2017-02-02), Product Sales Detail by Product and Geographic Region",https://www.sec.gov/Archives/edgar/data/318154/000119312517029270/d321688dex991.htm,not-disclosed,"IMLYGIC has no line of its own; it is inside 'Other'/'Other products' (US and ROW) in Amgen's Product Sales Detail table. Q4 2016 release table rows: ENBREL, Neulasta, Aranesp, Prolia, Sensipar/Mimpara, XGEVA, EPOGEN, KYPROLIS, NEUPOGEN, Nplate, Vectibix, Repatha, BLINCYTO, Other; footnote: 'Other includes MN Pharma, Bergamo, IMLYGIC and Corlanor'. Other row Q4 2016: US 19, ROW 56, total 75; FY2016 total 250 (US 60, ROW 190). This specific quarter's release was not read; the not-disclosed status is inferred from the three releases read (Q4 2016, Q4 2020, Q2 2026) and from the EDGAR full-text pattern (every quarterly release and every 10-K pairs IMLYGIC only with the Other footnote)."
Imlygic,2016Q4,Total,,USD,"Amgen 8-K Ex-99.1, Fourth Quarter and Full Year 2016 Financial Results (2017-02-02), Product Sales Detail by Product and Geographic Region",https://www.sec.gov/Archives/edgar/data/318154/000119312517029270/d321688dex991.htm,not-disclosed,"IMLYGIC has no line of its own; it is inside 'Other'/'Other products' (US and ROW) in Amgen's Product Sales Detail table. Q4 2016 release table rows: ENBREL, Neulasta, Aranesp, Prolia, Sensipar/Mimpara, XGEVA, EPOGEN, KYPROLIS, NEUPOGEN, Nplate, Vectibix, Repatha, BLINCYTO, Other; footnote: 'Other includes MN Pharma, Bergamo, IMLYGIC and Corlanor'. Other row Q4 2016: US 19, ROW 56, total 75; FY2016 total 250 (US 60, ROW 190). This specific quarter's release was read."
Imlygic,2017Q1,Total,,USD,"Amgen 8-K Ex-99.1, Fourth Quarter and Full Year 2020 Financial Results (2021-02-02), Product Sales Detail by Product and Geographic Region",https://www.sec.gov/Archives/edgar/data/318154/000031815421000005/amgn-20201231xq4ex991.htm,not-disclosed,"IMLYGIC has no line of its own; it is inside 'Other'/'Other products' (US and ROW) in Amgen's Product Sales Detail table. Q4 2020 release table has 20 named product rows plus 'Other'; footnote: 'Other includes GENSENTA, IMLYGIC, Corlanor, Bergamo and AVSOLA.' Other row Q4 2020: US 31, ROW 45, total 76; FY2020 total 283 (US 109, ROW 174). This specific quarter's release was not read; the not-disclosed status is inferred from the three releases read (Q4 2016, Q4 2020, Q2 2026) and from the EDGAR full-text pattern (every quarterly release and every 10-K pairs IMLYGIC only with the Other footnote)."
Imlygic,2017Q2,Total,,USD,"Amgen 8-K Ex-99.1, Fourth Quarter and Full Year 2020 Financial Results (2021-02-02), Product Sales Detail by Product and Geographic Region",https://www.sec.gov/Archives/edgar/data/318154/000031815421000005/amgn-20201231xq4ex991.htm,not-disclosed,"IMLYGIC has no line of its own; it is inside 'Other'/'Other products' (US and ROW) in Amgen's Product Sales Detail table. Q4 2020 release table has 20 named product rows plus 'Other'; footnote: 'Other includes GENSENTA, IMLYGIC, Corlanor, Bergamo and AVSOLA.' Other row Q4 2020: US 31, ROW 45, total 76; FY2020 total 283 (US 109, ROW 174). This specific quarter's release was not read; the not-disclosed status is inferred from the three releases read (Q4 2016, Q4 2020, Q2 2026) and from the EDGAR full-text pattern (every quarterly release and every 10-K pairs IMLYGIC only with the Other footnote)."
Imlygic,2017Q3,Total,,USD,"Amgen 8-K Ex-99.1, Fourth Quarter and Full Year 2020 Financial Results (2021-02-02), Product Sales Detail by Product and Geographic Region",https://www.sec.gov/Archives/edgar/data/318154/000031815421000005/amgn-20201231xq4ex991.htm,not-disclosed,"IMLYGIC has no line of its own; it is inside 'Other'/'Other products' (US and ROW) in Amgen's Product Sales Detail table. Q4 2020 release table has 20 named product rows plus 'Other'; footnote: 'Other includes GENSENTA, IMLYGIC, Corlanor, Bergamo and AVSOLA.' Other row Q4 2020: US 31, ROW 45, total 76; FY2020 total 283 (US 109, ROW 174). This specific quarter's release was not read; the not-disclosed status is inferred from the three releases read (Q4 2016, Q4 2020, Q2 2026) and from the EDGAR full-text pattern (every quarterly release and every 10-K pairs IMLYGIC only with the Other footnote)."
Imlygic,2017Q4,Total,,USD,"Amgen 8-K Ex-99.1, Fourth Quarter and Full Year 2020 Financial Results (2021-02-02), Product Sales Detail by Product and Geographic Region",https://www.sec.gov/Archives/edgar/data/318154/000031815421000005/amgn-20201231xq4ex991.htm,not-disclosed,"IMLYGIC has no line of its own; it is inside 'Other'/'Other products' (US and ROW) in Amgen's Product Sales Detail table. Q4 2020 release table has 20 named product rows plus 'Other'; footnote: 'Other includes GENSENTA, IMLYGIC, Corlanor, Bergamo and AVSOLA.' Other row Q4 2020: US 31, ROW 45, total 76; FY2020 total 283 (US 109, ROW 174). This specific quarter's release was not read; the not-disclosed status is inferred from the three releases read (Q4 2016, Q4 2020, Q2 2026) and from the EDGAR full-text pattern (every quarterly release and every 10-K pairs IMLYGIC only with the Other footnote)."
Imlygic,2018Q1,Total,,USD,"Amgen 8-K Ex-99.1, Fourth Quarter and Full Year 2020 Financial Results (2021-02-02), Product Sales Detail by Product and Geographic Region",https://www.sec.gov/Archives/edgar/data/318154/000031815421000005/amgn-20201231xq4ex991.htm,not-disclosed,"IMLYGIC has no line of its own; it is inside 'Other'/'Other products' (US and ROW) in Amgen's Product Sales Detail table. Q4 2020 release table has 20 named product rows plus 'Other'; footnote: 'Other includes GENSENTA, IMLYGIC, Corlanor, Bergamo and AVSOLA.' Other row Q4 2020: US 31, ROW 45, total 76; FY2020 total 283 (US 109, ROW 174). This specific quarter's release was not read; the not-disclosed status is inferred from the three releases read (Q4 2016, Q4 2020, Q2 2026) and from the EDGAR full-text pattern (every quarterly release and every 10-K pairs IMLYGIC only with the Other footnote)."
Imlygic,2018Q2,Total,,USD,"Amgen 8-K Ex-99.1, Fourth Quarter and Full Year 2020 Financial Results (2021-02-02), Product Sales Detail by Product and Geographic Region",https://www.sec.gov/Archives/edgar/data/318154/000031815421000005/amgn-20201231xq4ex991.htm,not-disclosed,"IMLYGIC has no line of its own; it is inside 'Other'/'Other products' (US and ROW) in Amgen's Product Sales Detail table. Q4 2020 release table has 20 named product rows plus 'Other'; footnote: 'Other includes GENSENTA, IMLYGIC, Corlanor, Bergamo and AVSOLA.' Other row Q4 2020: US 31, ROW 45, total 76; FY2020 total 283 (US 109, ROW 174). This specific quarter's release was not read; the not-disclosed status is inferred from the three releases read (Q4 2016, Q4 2020, Q2 2026) and from the EDGAR full-text pattern (every quarterly release and every 10-K pairs IMLYGIC only with the Other footnote)."
