product,period,region,revenue_musd,currency,source_doc,source_url,status,notes
Kebilidi,2022Q3,Total,,USD,"PTC Therapeutics 8-K Ex-99.1, Third Quarter 2022 Financial Results (2022-10-27)",https://www.sec.gov/Archives/edgar/data/1070081/000107008122000038/tmb-20221027xex99d1.htm,not-disclosed,"Upstaza (EU name; Kebilidi in US) approved by the EC 2022-07-18; first commercial sale date never disclosed. Release itemises only Translarna ($77M) and Emflaza ($55M) within total net product revenue $134.2M; no Upstaza line and no statement of first sales. Unitemised residual (Total - Translarna - Emflaza) = 2.2, which also contains Tegsedi and Waylivra (Latin America)."
Kebilidi,2022Q4,Total,,USD,"PTC Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2022 Financial Results (2023-02-21)",https://www.sec.gov/Archives/edgar/data/1070081/000107008123000008/tmb-20230221xex99d1.htm,not-disclosed,"No Upstaza line: Q4 2022 total net product revenue 127.5 = Translarna 55.8 + Emflaza 58.1 + unitemised residual 13.6 (Tegsedi, Waylivra, any Upstaza). Release contains no commercial Upstaza sentence."
Kebilidi,2022FY,Total,,USD,"PTC Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2022 Financial Results (2023-02-21)",https://www.sec.gov/Archives/edgar/data/1070081/000107008123000008/tmb-20230221xex99d1.htm,not-disclosed,"Annual row. FY2022 total 535.2 = Translarna 288.6 + Emflaza 218.3 + residual 28.3 (unitemised; includes Tegsedi, Waylivra, any Upstaza)."
Kebilidi,2023Q1,Total,,USD,"PTC Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2023 Financial Results (2024-02-29)",https://www.sec.gov/Archives/edgar/data/1070081/000155837024002189/tmb-20240229xex99d1.htm,not-disclosed,"Not itemised. Quarterly release for this period not fetched (budget); no PTC release read for 2022Q3-2026Q2 itemises Upstaza/Kebilidi, so status is inferred from the annual release covering this quarter."
Kebilidi,2023Q2,Total,,USD,"PTC Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2023 Financial Results (2024-02-29)",https://www.sec.gov/Archives/edgar/data/1070081/000155837024002189/tmb-20240229xex99d1.htm,not-disclosed,"Not itemised. Quarterly release for this period not fetched (budget); no PTC release read for 2022Q3-2026Q2 itemises Upstaza/Kebilidi, so status is inferred from the annual release covering this quarter."
Kebilidi,2023Q3,Total,,USD,"PTC Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2023 Financial Results (2024-02-29)",https://www.sec.gov/Archives/edgar/data/1070081/000155837024002189/tmb-20240229xex99d1.htm,not-disclosed,"Not itemised. Quarterly release for this period not fetched (budget); no PTC release read for 2022Q3-2026Q2 itemises Upstaza/Kebilidi, so status is inferred from the annual release covering this quarter."
Kebilidi,2023Q4,Total,,USD,"PTC Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2023 Financial Results (2024-02-29)",https://www.sec.gov/Archives/edgar/data/1070081/000155837024002189/tmb-20240229xex99d1.htm,not-disclosed,"No Upstaza line: Q4 2023 total 155.1 = Translarna 75.2 + Emflaza 67.4 + residual 12.5 (unitemised). Only Upstaza sentence: 'PTC expects to submit a BLA to the FDA for Upstaza for the treatment of AADC deficiency in March 2024.'"
Kebilidi,2023FY,Total,,USD,"PTC Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2023 Financial Results (2024-02-29)",https://www.sec.gov/Archives/edgar/data/1070081/000155837024002189/tmb-20240229xex99d1.htm,not-disclosed,"Annual row. FY2023 total 661.2 = Translarna 355.8 + Emflaza 255.1 + residual 50.3 (unitemised)."
Kebilidi,2024Q1,Total,,USD,"PTC Therapeutics 8-K Ex-99.1, Fourth Quarter and Full Year 2024 Financial Results (2025-02-27)",https://www.sec.gov/Archives/edgar/data/1070081/000107008125000011/tmb-20250227xex99d1.htm,not-disclosed,"Not itemised. Quarterly release for this period not fetched (budget); no PTC release read for 2022Q3-2026Q2 itemises Upstaza/Kebilidi, so status is inferred from the annual release covering this quarter."
Kebilidi,2024Q2,Total,,USD,"PTC Therapeutics 8-K Ex-99.1, Second Quarter 2025 Financial Results (2025-08-07)",https://www.sec.gov/Archives/edgar/data/1070081/000155837025010770/tmb-20250807xex99d1.htm,not-disclosed,"Not itemised (Q2 2024 comparative in the Q2 2025 release): total 133.2 = Translarna 70.4 + Emflaza 47.3 + residual 15.5."
