product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Kymriah,list_price,2017-08-30,US,475000,USD per treatment,"Table 1 (Kymriah, Tisagenlecleucel): market date 2017-08-30; WAC (launch) $475,000; WAC 2022 $475,000; WAC 2023 $543,828; WAC 2024 $582,000; WAC 2025 $593,533; CAGR 3.08%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. Launch WAC. USD 475,000 is the launch price for the pediatric/young-adult ALL indication. The Novartis approval press release furnished on Form 6-K (30 Aug 2017) does not state the dollar price; the figure was announced at the approval briefing and is widely reported."
Kymriah,list_price,2022,US,475000,USD per treatment,"Table 1 (Kymriah, Tisagenlecleucel): market date 2017-08-30; WAC (launch) $475,000; WAC 2022 $475,000; WAC 2023 $543,828; WAC 2024 $582,000; WAC 2025 $593,533; CAGR 3.08%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. List price for the year as compiled by HMPI. USD 475,000 is the launch price for the pediatric/young-adult ALL indication. The Novartis approval press release furnished on Form 6-K (30 Aug 2017) does not state the dollar price; the figure was announced at the approval briefing and is widely reported."
Kymriah,list_price,2023,US,543828,USD per treatment,"Table 1 (Kymriah, Tisagenlecleucel): market date 2017-08-30; WAC (launch) $475,000; WAC 2022 $475,000; WAC 2023 $543,828; WAC 2024 $582,000; WAC 2025 $593,533; CAGR 3.08%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. List price for the year as compiled by HMPI. USD 475,000 is the launch price for the pediatric/young-adult ALL indication. The Novartis approval press release furnished on Form 6-K (30 Aug 2017) does not state the dollar price; the figure was announced at the approval briefing and is widely reported."
Kymriah,list_price,2024,US,582000,USD per treatment,"Table 1 (Kymriah, Tisagenlecleucel): market date 2017-08-30; WAC (launch) $475,000; WAC 2022 $475,000; WAC 2023 $543,828; WAC 2024 $582,000; WAC 2025 $593,533; CAGR 3.08%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. List price for the year as compiled by HMPI. USD 475,000 is the launch price for the pediatric/young-adult ALL indication. The Novartis approval press release furnished on Form 6-K (30 Aug 2017) does not state the dollar price; the figure was announced at the approval briefing and is widely reported."
Kymriah,list_price,2025,US,593533,USD per treatment,"Table 1 (Kymriah, Tisagenlecleucel): market date 2017-08-30; WAC (launch) $475,000; WAC 2022 $475,000; WAC 2023 $543,828; WAC 2024 $582,000; WAC 2025 $593,533; CAGR 3.08%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI) vol. 11 issue 1, Pulice and Schulman (Stanford), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,verified-from-source,"Secondary academic compilation of US wholesale acquisition cost (WAC) by year, read directly from the article's Table 1 ('Pricing and market trends for six FDA-approved CAR-T therapies'; footnote: 'Launch date, wholesale acquisition cost (WAC) from launch through 2025, compound annual growth rate (CAGR), and global market size from launch through 2024 are reported for each therapy'). Not a company statement. List price for the year as compiled by HMPI. USD 475,000 is the launch price for the pediatric/young-adult ALL indication. The Novartis approval press release furnished on Form 6-K (30 Aug 2017) does not state the dollar price; the figure was announced at the approval briefing and is widely reported."
Kymriah,list_price,2018-05-01,US,373000,USD per treatment,"(no source sentence fetched) Novartis set a USD 373,000 price for the r/r DLBCL indication approved 1 May 2018, matching Yescarta.",Not fetched within budget; widely reported Novartis statement of May 2018 (verify against the Novartis 1 May 2018 approval press release or ICER 2018 CAR-T report),,gap,"No document read for this figure (web-search budget exhausted). Recorded because the ALL and DLBCL indications carry different US list prices, which matters when converting revenue to patients."
Kymriah,statement,2017-08-30,US,,,"This approach is intended to include indication-based pricing for medicines and supports payments for a medicine, such as Kymriah for its initial indication, based on the clinical outcomes achieved","Novartis receives first ever FDA approval for a CAR-T cell therapy, Kymriah (CTL019) (press release furnished on Form 6-K, 30 Aug 2017)",https://www.sec.gov/Archives/edgar/data/1114448/000117184317005301/f6k_083017.htm,verified-from-source,"Outcomes-based arrangement with CMS announced at approval: Novartis is paid only if patients respond by the end of the first month. The same release: 'Kymriah will be manufactured for each individual patient using their own cells at the Novartis Morris Plains, New Jersey facility' and 'Novartis is establishing a network of certified treatment centers throughout the country' (no number given)."
Kymriah,statement,2018-12-31,Global,,,"Kymriah sales were USD 28 million with the US as the main driver. Progress was made on access in Europe with commercial orders in five countries, and Australia approved both indications in December.","Novartis Q4 and FY 2018 Condensed Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 30 Jan 2019)",https://www.sec.gov/Archives/edgar/data/1114448/000137036819000006/a190130-99_2.htm,verified-from-source,Same report: 'we are expanding global manufacturing including multiple collaborations and doubling the capacity at Morris Plains.'
Kymriah,centres,2019-06-30,Global,130,qualified treatment centres,There are over 130 qualified treatment centers and 19 countries worldwide that have coverage for at least one indication.,"Novartis Q2 and H1 2019 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 18 Jul 2019)",https://www.sec.gov/Archives/edgar/data/1114448/000137036819000049/a190718-99_2.htm,verified-from-source,Floor ('over 130'). Coverage = reimbursement coverage for at least one indication.
Kymriah,centres,2019-09-30,Global,160,qualified treatment centres,There are over 160 qualified treatment centers and more than 20 countries worldwide that have coverage for at least one indication.,"Novartis Q3 and 9M 2019 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 22 Oct 2019)",https://www.sec.gov/Archives/edgar/data/1114448/000137036819000062/a191022-99_2.htm,verified-from-source,Floor ('over 160').
