product,period,region,revenue_musd,currency,source_doc,source_url,status,notes
Kymriah,2017Q4,Total,6,USD,"Novartis Q4 and FY 2018 Condensed Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 30 Jan 2019)",https://www.sec.gov/Archives/edgar/data/1114448/000137036819000006/a190130-99_2.htm,verified-from-source,"Prior-year comparative column (Q4 2017) of the Oncology business unit table; FY2017 also USD 6m, i.e. all 2017 sales fell in Q4. FDA approval 30 Aug 2017 (pALL); first commercial infusions Q4 2017; US only at the time. No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2018Q1,Total,12,USD,"Novartis Q1 2019 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 24 Apr 2019)",https://www.sec.gov/Archives/edgar/data/1114448/000137036819000028/a190424-99_2.htm,verified-from-source,"Prior-year comparative column (Q1 2018). No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2018Q2,Total,16,USD,"Novartis Q2 and H1 2019 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 18 Jul 2019)",https://www.sec.gov/Archives/edgar/data/1114448/000137036819000049/a190718-99_2.htm,verified-from-source,"Prior-year comparative column (Q2 2018). Cross-check: H1 2018 = 28 = 12 + 16. DLBCL indication approved 1 May 2018. No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2018Q3,Total,20,USD,"Novartis Q3 and 9M 2019 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 22 Oct 2019)",https://www.sec.gov/Archives/edgar/data/1114448/000137036819000062/a191022-99_2.htm,verified-from-source,"Prior-year comparative column (Q3 2018). Cross-check: 9M 2018 = 48 = 28 + 20. EU approval 22 Aug 2018. No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2018Q4,Total,28,USD,"Novartis Q4 and FY 2018 Condensed Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 30 Jan 2019)",https://www.sec.gov/Archives/edgar/data/1114448/000137036819000006/a190130-99_2.htm,verified-from-source,"Q4 2018 column; FY2018 = 76 = 48 + 28. Report text: 'Kymriah sales were USD 28 million with the US as the main driver.' No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2019Q1,Total,45,USD,"Novartis Q1 2019 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 24 Apr 2019)",https://www.sec.gov/Archives/edgar/data/1114448/000137036819000028/a190424-99_2.htm,verified-from-source,"Q1 2019 column (Q1 2018 comparative 12). No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2019Q2,Total,58,USD,"Novartis Q2 and H1 2019 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 18 Jul 2019)",https://www.sec.gov/Archives/edgar/data/1114448/000137036819000049/a190718-99_2.htm,verified-from-source,"Q2 2019 column; H1 2019 = 103 = 45 + 58. Also shown as the prior-year comparative (58) in the Q2 2020 report. No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2019Q3,Total,79,USD,"Novartis Q3 and 9M 2019 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 22 Oct 2019)",https://www.sec.gov/Archives/edgar/data/1114448/000137036819000062/a191022-99_2.htm,verified-from-source,"Q3 2019 column; 9M 2019 = 182 = 103 + 79. No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2019Q4,Total,96,USD,"Novartis Fourth Quarter and Full Year 2020 Condensed Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 26 Jan 2021)",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000008/a210126-99_2.htm,verified-from-source,"Prior-year comparative column (Q4 2019); FY2019 = 278 = 182 + 96. No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2020Q1,Total,93,USD,"Novartis First Quarter 2021 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 27 Apr 2021)",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000041/a210427-99_2.htm,verified-from-source,"Prior-year comparative column (Q1 2020) of the Oncology business unit table. No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2020Q1,US,46,USD,"Novartis First Quarter 2021 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 27 Apr 2021)",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000041/a210427-99_2.htm,derived,"Approximate back-calculation from the Q1 2021 top-20 table: Q1 2021 US 62 at +35% USD growth gives 62/1.35 = 45.9. Percentages are rounded, so treat as +/-1. US + Rest of world = 93 matches the reported Q1 2020 total."
Kymriah,2020Q1,Rest of world,47,USD,"Novartis First Quarter 2021 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 27 Apr 2021)",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000041/a210427-99_2.htm,derived,"Approximate back-calculation from the Q1 2021 top-20 table: Q1 2021 Rest of world 89 at +89% USD growth gives 89/1.89 = 47.1. Percentages are rounded, so treat as +/-1."
Kymriah,2020Q2,Total,118,USD,"Novartis Second Quarter and Half Year 2020 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 21 Jul 2020)",https://www.sec.gov/Archives/edgar/data/1114448/000137036820000069/a200721-99_2.htm,verified-from-source,"Q2 2020 column; H1 2020 = 211 = 93 + 118. Report text: 'Kymriah (USD 118 million, +103%, +103% cc) grew strongly in Europe and US.' No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2020Q3,Total,122,USD,"Novartis Third Quarter and Nine Months 2021 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 26 Oct 2021)",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000072/a211026-99_2.htm,verified-from-source,"Prior-year comparative column (Q3 2020); 9M 2020 = 333 = 211 + 122. No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2020Q4,Total,141,USD,"Novartis Fourth Quarter and Full Year 2020 Condensed Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 26 Jan 2021)",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000008/a210126-99_2.htm,verified-from-source,"Q4 2020 column; FY2020 = 474 = 333 + 141. No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2021Q1,US,62,USD,"Novartis First Quarter 2021 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 27 Apr 2021)",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000041/a210427-99_2.htm,verified-from-source,"Table 'Net sales of the top 20 Innovative Medicines Division products in 2021', US column (USD 62m, +35% USD). The only quarter in the fetched reports where Kymriah appears in the regional top-20 table; region labels in source: US / Rest of world / Total."
Kymriah,2021Q1,Rest of world,89,USD,"Novartis First Quarter 2021 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 27 Apr 2021)",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000041/a210427-99_2.htm,verified-from-source,"Top-20 table, Rest of world column (USD 89m, +89% USD, +76% cc)."
Kymriah,2021Q1,Total,151,USD,"Novartis First Quarter 2021 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 27 Apr 2021)",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000041/a210427-99_2.htm,verified-from-source,"Oncology business unit table and top-20 table both show 151 (+62% USD, +55% cc)."
Kymriah,2021Q2,Total,147,USD,"Novartis Q2 2021 Condensed Financial Report, press release (Form 6-K exhibit 99.1, 21 Jul 2021)",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000055/nvs-20210630-99_1.htm,verified-from-source,"Table 'Net sales of the top 20 Innovative Medicines products in 2021', Q2 2021 column (USD 147m, +19%). Cross-check: 9M 2021 (444, Q3 2021 report) minus Q1 (151) minus Q3 (146) = 147. The Q2 2022 press release comparative column was read as 146 (rounding/restatement of 1m); the H1 2021 figures returned by the extraction tool (284 and 274) do not reconcile with Q1 + Q2 = 298 and were disregarded. The exhibit 99.2 supplementary data for Q2 2021 (nvs-20210630-99_2.htm) is inline-XBRL and could not be parsed, so no US/Rest of world split was captured for this quarter."
Kymriah,2021Q3,Total,146,USD,"Novartis Third Quarter and Nine Months 2021 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 26 Oct 2021)",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000072/a211026-99_2.htm,verified-from-source,"Oncology business unit (Hematology) table, Q3 2021 column; 9M 2021 = 444. No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2021Q4,Total,143,USD,"Novartis Fourth Quarter and Full Year 2021 Condensed Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 2 Feb 2022)",https://www.sec.gov/Archives/edgar/data/1114448/000137036822000009/a220202-99_2.htm,verified-from-source,"Q4 2021 column; FY2021 = 587 = 444 + 143. Also the prior-year comparative in the Q4 2022 report (143; FY2021 587). No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
Kymriah,2022Q1,Total,127,USD,"Novartis First Quarter 2023 Condensed Interim Financial Report - Supplementary Data (Form 6-K exhibit 99.2, 25 Apr 2023)",https://www.sec.gov/Archives/edgar/data/1114448/000137036823000046/a230425-99_2.htm,verified-from-source,"Prior-year comparative column (Q1 2022) of the Hematology table. Cross-check: H1 2022 (263, Q2 2022 press release) minus Q2 2022 (136) = 127. No US/Rest of world split published for Kymriah in this report (product appears only in the Oncology business unit table, which shows totals)."
