product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Kresladi,statement,2026-08-10,US,,launch timing,Rocket anticipates commercial availability and the start of patient onboarding in the fourth quarter of 2026.,"Rocket Pharmaceuticals 8-K Ex-99.1, Second Quarter 2026 Financial Results and Highlights Recent Progress (2026-08-10)",https://www.sec.gov/Archives/edgar/data/1281895/000114036126032028/ef20079821_ex99-1.htm,verified-from-source,About 6-9 months from approval (2026-03-26) to first patient onboarding; strategy 'centered on a limited network of specialized Qualified Treatment Centers'. No list price or WAC disclosed.
Kresladi,statement,2026-06-12,US,180,USD million PRV sale proceeds,"On June 12, 2026, Rocket announced the closing of the sale of its Rare Pediatric Disease Priority Review Voucher (PRV) for gross proceeds of $180 million","Rocket Pharmaceuticals 8-K Ex-99.1, Second Quarter 2026 Financial Results and Highlights Recent Progress (2026-08-10)",https://www.sec.gov/Archives/edgar/data/1281895/000114036126032028/ef20079821_ex99-1.htm,verified-from-source,Release: 'FDA approval of KRESLADI and subsequent monetization of the Priority Review Voucher generated $180 million'. Cash runway 'into the second quarter of 2028'.
Kresladi,list_price,2026-03-26,US,,USD per treatment,(not disclosed in the Q2 2026 release),"Rocket Pharmaceuticals 8-K Ex-99.1, Second Quarter 2026 Financial Results and Highlights Recent Progress (2026-08-10)",https://www.sec.gov/Archives/edgar/data/1281895/000114036126032028/ef20079821_ex99-1.htm,gap,"Check Rocket's approval press release (8-K 2026-03-27, accession 0001140361-26-011573, ef20069038_ex99-1.htm) or the Q4 2026 launch update for the WAC."
Otarmeni,statement,2026-05-31,Europe,,regulatory,"In May 2026, the European Medicines Agency (EMA) accepted for review, under accelerated assessment, the Marketing Authorization Application (MAA) for Otarmeni for the treatment of biallelic OTOF variant-associated hearing loss.","Regeneron 8-K Ex-99.1, Second Quarter 2026 Financial and Operating Results (2026-07-30)",https://www.sec.gov/Archives/edgar/data/872589/000087258926000023/exhibit991q22026.htm,verified-from-source,"Only Otarmeni statement in the Q2 2026 release; no US launch, first-patient, centre or price statement despite FDA approval on 2026-04-23. Otarmeni absent from the net product sales table."
Otarmeni,list_price,2026-04-23,US,,USD per treatment,(not disclosed in the Q2 2026 release),"Regeneron 8-K Ex-99.1, Second Quarter 2026 Financial and Operating Results (2026-07-30)",https://www.sec.gov/Archives/edgar/data/872589/000087258926000023/exhibit991q22026.htm,gap,Check Regeneron's approval press release (8-K 2026-04-29 exhibit991q12026.htm may also carry launch statements) for WAC.
Genglycos,statement,2026-08-19,US,,approval,"On August 19, 2026, Ultragenyx Pharmaceutical Inc. announced the U.S. Food and Drug Administration granted accelerated approval for GENGLYCOS.","Ultragenyx 8-K Item 8.01, FDA accelerated approval of GENGLYCOS (2026-08-19)",https://www.sec.gov/Archives/edgar/data/1515673/000119312526357185/rare-20260819.htm,verified-from-source,"'GENGLYCOS (pariglasgene brecaparvovec-opnr), also known as DTX401, in adult and pediatric patients eight years and older with glycogen storage disease type Ia (GSDIa).' Based on the Phase 3 GlucoGene study (46 participants). No launch timing, price, first-patient or centre statement in the 8-K."
Genglycos,list_price,2026-08-19,US,,USD per treatment,(not disclosed in the approval 8-K),"Ultragenyx 8-K Item 8.01, FDA accelerated approval of GENGLYCOS (2026-08-19)",https://www.sec.gov/Archives/edgar/data/1515673/000119312526357185/rare-20260819.htm,gap,Check the Ultragenyx approval press release / Q3 2026 results (Nov 2026) for WAC and first commercial patient.
Tudriqev,statement,2026-08-06,US,,approval and launch timing,"On August 6, 2026, the Company announced the U.S. Food and Drug Administration (FDA) has approved TUDRIQEV","Replimune 8-K Ex-99.1, Fiscal First Quarter 2027 Financial Results and Corporate Update (2026-08-14)",https://www.sec.gov/Archives/edgar/data/1737953/000110465926096483/tm2623208d1_ex99-1.htm,verified-from-source,"'for the treatment of adults with unresectable advanced cutaneous melanoma who experienced disease progression with a PD-1 antibody-based regimen'; 'The Company has begun launch preparations in the U.S. and anticipates having product in the market within 60 days'. Net proceeds of $141.0 million from an August 2026 equity offering. No price, centre or first-patient statement."
Tudriqev,list_price,2026-08-06,US,,USD per course,(not disclosed in the fiscal Q1 2027 release),"Replimune 8-K Ex-99.1, Fiscal First Quarter 2027 Financial Results and Corporate Update (2026-08-14)",https://www.sec.gov/Archives/edgar/data/1737953/000110465926096483/tm2623208d1_ex99-1.htm,gap,"Check Replimune's approval 8-K exhibits (2026-08-07, accession 0001104659-26-092246, ex99-1 and ex99-2) for WAC and launch details."
Itvisma,statement,2026-06-30,Global,365,USD million Zolgensma group Q2 2026 net sales,"Zolgensma Group (USD 365 million, +20% cc) sales grew driven by continued launch momentum from Itvisma in the US and UAE.","Novartis 6-K Ex-99.1, Financial Report Q2 2026 (2026-07-21)",https://www.sec.gov/Archives/edgar/data/1114448/000111444826000012/nvs-20260630-99_1.htm,verified-from-source,"Itvisma (onasemnogene abeparvovec intrathecal; approved FDA 2025-11-24) is reported within the Zolgensma group, not separately. Zolgensma group H1 2026 net sales 667 (+3% cc). Same report: 'EC approved Itvisma for the treatment of children two years and older, teens and adults living with 5q spinal muscular atrophy (SMA) with a bi-allelic mutation in the survival motor neuron 1 (SMN1) gene.' No patient count."
