product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Luxturna,list_price,2018-01-03,US,425000,USD per eye,"In the U.S., the price of Luxturna is $850,000 USD per injection or $425,000 per eye.","Roche Media Relations, ""Key Messages and Q&A: Roche / Spark Therapeutics transaction"", 25 Feb 2019, filed as Exhibit 99.02 to SC TO-C",https://www.sec.gov/Archives/edgar/data/1609351/000095010319002292/dp102644_ex9902.htm,verified-from-source,"Wholesale acquisition cost set by Spark at US launch on 3 Jan 2018; unchanged as quoted by Roche in Feb 2019. ""per injection"" here means per bilateral treatment."
Luxturna,list_price,2018-01-03,US,850000,USD per patient (both eyes),"In the U.S., the price of Luxturna is $850,000 USD per injection or $425,000 per eye.","Roche Media Relations, ""Key Messages and Q&A: Roche / Spark Therapeutics transaction"", 25 Feb 2019, Exhibit 99.02 to SC TO-C",https://www.sec.gov/Archives/edgar/data/1609351/000095010319002292/dp102644_ex9902.htm,verified-from-source,"Same source. Spark's own 3 Jan 2018 press release announced the access programmes but does not itself state the price."
Luxturna,list_price,2019-10-01,England (NHS),613410,GBP per patient,"The list price of voretigene neparvovec is £613,410 per patient (excluding VAT; company submission).","NICE Highly Specialised Technologies guidance HST11, voretigene neparvovec for treating inherited retinal dystrophies caused by RPE65 gene mutations",https://www.nice.org.uk/guidance/hst11,verified-from-source,"Novartis holds ex-US rights. A confidential commercial discount to NHS England applies, so the net price paid is undisclosed. ~GBP 306,705 per eye."
Luxturna,list_price,2020-08-10,Germany,410550,EUR per eye,"€410,550 per eye","Zimmermann M et al., Cost Effectiveness of Voretigene Neparvovec for RPE65-Mediated Inherited Retinal Degeneration in Germany (PMC7442871)",https://pmc.ncbi.nlm.nih.gov/articles/PMC7442871/,provisional-from-snippet,"Academic cost-effectiveness study, not a Novartis document; the paper gives no external citation for the figure. Implies ~EUR 821,100 per bilateral patient."
Luxturna,list_price,2019-01-01,France,290000,EUR per eye,"The liste en sus price for Luxturna has been set at €290,000.00 (excluding VAT)","NAVLIN Daily, ""Luxturna Costs €290,000 in France""",https://www.navlindaily.com/article/8353/luxturna-costs-290-000-in-france,provisional-from-snippet,"Trade press headline only; article body paywalled. Not confirmed against a Novartis or French HAS/CEPS document."
Luxturna,patients_cumulative,2018-03-31,US,3,patients,"Launched LUXTURNA in U.S., with three patients treated at different treatment centers - Massachusetts Eye and Ear in Boston, Bascom Palmer Eye Institute in Miami and The Vision Center at Children's Hospital of Los Angeles","Spark Therapeutics 8-K Ex 99.1, Q1 2018 results (2018-05-08)",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000042/spark-exhibit991q12018.htm,verified-from-source,"Only Spark disclosure that counts patients rather than vials. Also: ""We are pleased that three patients were treated with LUXTURNA in the first quarter""."
Luxturna,patients_cumulative,2018-06-30,US,12,vials shipped in Q2 2018,"Continued strong execution of LUXTURNA launch in U.S., with 12 vials shipped in the second quarter of 2018 and patients now treated in six treatment centers","Spark Therapeutics 8-K Ex 99.1, Q2 2018 results (2018-08-07)",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000069/spark-exhibit991q22018.htm,verified-from-source,"Vials, not patients. One vial per eye; bilateral treatment = 2 vials, so 12 vials is at most 12 and at least 6 patients."
Luxturna,patients_cumulative,2018-09-30,US,24,vials shipped in Q3 2018,"Shipped 24 vials of LUXTURNA in the U.S. in the third quarter of 2018","Spark Therapeutics 8-K Ex 99.1, Q3 2018 results (2018-11-06)",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000074/spark-exhibit991q32018.htm,verified-from-source,"Same release: ""Treated first two patients under the Spark PATH (Pioneering Access To Healthcare) outcomes-based contracting model""."
Luxturna,patients_cumulative,2018-12-31,US,75,vials shipped in FY2018,"Shipped 75 vials of LUXTURNA in the U.S.","Spark Therapeutics 8-K Ex 99.1, FY2018 results (2019-02-19)",https://www.sec.gov/Archives/edgar/data/1609351/000160935119000035/spark-exhibit991fullyear20.htm,verified-from-source,"Cumulative for launch year. 75 vials x $425,000 = $31.9m gross vs $27.0m net product sales, i.e. ~15% gross-to-net. Implies roughly 38-40 patients if nearly all were bilateral."
Luxturna,patients_cumulative,2021-11-15,Worldwide,,not disclosed,"A Spark spokesperson told BioPharma Dive the company does not disclose that information.","BioPharma Dive, ""Years later, a first-of-its-kind treatment shows the power, and limits, of gene therapy""",https://www.biopharmadive.com/news/luxturna-gene-therapy-eye-leber-lca/609832/,provisional-from-snippet,"Explicit refusal by Spark/Roche to disclose the cumulative number of patients treated. No Roche or Novartis ""more than X patients treated"" statement was found for 2020-2026."
Luxturna,patients_cumulative,2021-08-31,Ex-US (mainly Europe),103,patients dosed,"A total of 106 patients were enrolled in the study until August 2021 (data cut-off). Of them, 103 patients (183 eyes) received VN and were included in the FAS","Real-World Safety and Effectiveness of Voretigene Neparvovec: Results up to 2 Years from the Prospective, Registry-Based PERCEIVE Study (PMC10813228)",https://pmc.ncbi.nlm.nih.gov/articles/PMC10813228/,verified-from-source,"Novartis Pharma AG-sponsored post-authorisation registry (published Jan 2024), not a corporate financial disclosure. Registry enrolment is a lower bound on ex-US patients treated. 183 eyes / 103 patients = 1.78 vials per patient."
Luxturna,patients_cumulative,2025-06-30,US,87,participants enrolled (actual),"A Post-Authorization, Multicenter, Longitudinal, Observational Safety Registry Study for Patients Treated With Voretigene Neparvovec in US - Actual Enrollment: 87 participants","ClinicalTrials.gov NCT03597399 (sponsor: Spark Therapeutics, Inc.), study completed 2025-06-30",https://clinicaltrials.gov/study/NCT03597399,verified-from-source,"Spark-sponsored US registry, Jan 2019 - Jun 2025, 10 US sites. Voluntary enrolment, so a lower bound on US commercially treated patients over that window."
Luxturna,centres,2018-03-31,US,3,treatment centres,"Launched LUXTURNA in U.S., with three patients treated at different treatment centers - Massachusetts Eye and Ear in Boston, Bascom Palmer Eye Institute in Miami and The Vision Center at Children's Hospital of Los Angeles","Spark Therapeutics 8-K Ex 99.1, Q1 2018 results (2018-05-08)",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000042/spark-exhibit991q12018.htm,verified-from-source,"First three US treatment centres."
Luxturna,centres,2018-06-30,US,6,treatment centres,"Continued strong execution of LUXTURNA launch in U.S., with 12 vials shipped in the second quarter of 2018 and patients now treated in six treatment centers","Spark Therapeutics 8-K Ex 99.1, Q2 2018 results (2018-08-07)",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000069/spark-exhibit991q22018.htm,verified-from-source,"No later Spark/Roche centre count was disclosed in the 2018 Q3 or FY2018 releases."
Luxturna,centres,2026-09-04,US,19,designated treatment centres,"With locations across the United States, it is easy for your patients to find a designated LUXTURNA treatment center","LUXTURNA HCP site (Spark Therapeutics / Roche), Ocular gene therapy treatment centers page, accessed 2026-09-04",https://luxturnahcp.com/about-luxturna/treatment-centers/,verified-from-source,"Count of 19 named centres on the manufacturer's current site: Baylor Alkek, Lurie Children's, Bascom Palmer, Boston Children's, CHOP, Cincinnati Children's, Dean McGee, Duke, Kellogg, Mass Eye and Ear, Mayo, OHSU Casey, Scheie, UAB Callahan, UF Health, Iowa, Rochester Flaum, UPMC, CHLA."
Luxturna,eligible_population,2018-01-03,US,1000-2000,people,"We estimate that between 1,000-2,000 people in the U.S. have vision loss due to these biallelic RPE65 mutations.","Spark Therapeutics press release, ""Spark Therapeutics Announces First-of-their-kind Programs to Improve Patient Access to LUXTURNA"", 3 Jan 2018",https://www.globenewswire.com/news-release/2018/01/03/1281548/0/en/Spark-Therapeutics-Announces-First-of-their-kind-Programs-to-Improve-Patient-Access-to-LUXTURNA-voretigene-neparvovec-rzyl-a-One-time-Gene-Therapy-Treatment.html,verified-from-source,"Company estimate at US launch."
Luxturna,eligible_population,2018-12-31,US,1000-2000,prevalent individuals,"We estimate the United States prevalent population at approximately 1,000 to 2,000 individuals.","Spark Therapeutics Form 10-K for FY2018",https://www.sec.gov/Archives/edgar/data/1609351/000160935119000042/spark-201810xk.htm,verified-from-source,"Same estimate repeated in the last Spark 10-K."
Luxturna,eligible_population,2018-12-31,"US, Europe and select Americas/Asia-Pacific",6000,prevalent individuals,"We believe the prevalent population is up to approximately 6,000 individuals with RPE65 mutations in the United States, Europe and select additional markets in the Americas and Asia/Pacific.","Spark Therapeutics Form 10-K for FY2018",https://www.sec.gov/Archives/edgar/data/1609351/000160935119000042/spark-201810xk.htm,verified-from-source,"Company's global addressable-population estimate. Same filing: ""We estimate that LCA affects approximately one in every 81,000 individuals and RP affects approximately one in every 4,500 individuals."""
Luxturna,eligible_population,2018-11-23,Worldwide,1 in 200000,prevalence,"Mutations in both copies of the RPE65 gene affect approximately 1 in 200,000 people.","Novartis media release, ""Novartis announces landmark EU approval for one-time gene therapy Luxturna"", 23 Nov 2018",https://www.novartis.com/news/media-releases/novartis-announces-landmark-eu-approval-one-time-gene-therapy-luxturna-restore-vision-people-rare-inherited-retinal-disease,verified-from-source,"Prevalence rate rather than a headcount; implies ~1,650 in the US and ~2,250 in the EU."
Luxturna,eligible_population,2019-10-01,England,86,people eligible,"Around 86 people would be eligible for treatment in England","NICE HST11 / press coverage of the NICE recommendation",https://www.nice.org.uk/guidance/hst11,provisional-from-snippet,"Figure appears in reporting of the NICE decision; not confirmed verbatim in the NICE committee-discussion chapter that was read."
