product,period,region,revenue_musd,currency,source_doc,source_url,status,notes
Luxturna,2018Q1,US,2.4,USD,"Spark Therapeutics 8-K Ex 99.1, Q1 2018 results (2018-05-08)",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000042/spark-exhibit991q12018.htm,verified-from-source,"Net product sales; ""of which $2.4 million was net sales of LUXTURNA"". Three patients treated in the quarter."
Luxturna,2018Q2,US,4.314,USD,"Spark Therapeutics Form 10-Q, period 2018-06-30",https://www.sec.gov/Archives/edgar/data/1609351/000160935119000070/spark-201963010xq.htm,verified-from-source,"$4,314 thousand shown as prior-year comparative in the 2019 Q2 10-Q; Q2 2018 press release states $4.3m. 12 vials shipped in the quarter."
Luxturna,2018Q3,US,8.866,USD,"Spark Therapeutics Form 10-Q, period 2018-09-30",https://www.sec.gov/Archives/edgar/data/0001609351/000160935118000076/spark-201893010xq.htm,verified-from-source,"$8.9m Q3 2018; nine-month 2018 total $15.599m. 24 vials shipped in the quarter."
Luxturna,2018Q4,US,11.401,USD,"Derived: Spark FY2018 8-K Ex 99.1 less Q3 2018 10-Q nine-month figure",https://www.sec.gov/Archives/edgar/data/1609351/000160935119000035/spark-exhibit991fullyear20.htm,verified-from-source,"Derived = FY2018 27.0 minus 9M2018 15.599. Not separately reported by Spark."
Luxturna,FY2018,US,27.0,USD,"Spark Therapeutics 8-K Ex 99.1, FY2018 results (2019-02-19)",https://www.sec.gov/Archives/edgar/data/1609351/000160935119000035/spark-exhibit991fullyear20.htm,verified-from-source,"Verbatim: ""In the year ended December 31, 2018, we recognized $64.7 million in total revenue, of which $27.0 million was net product sales of LUXTURNA""; 75 vials shipped in the US in 2018."
Luxturna,2019Q1,US,9.782,USD,"Spark Therapeutics Form 10-Q, period 2019-03-31",https://www.sec.gov/Archives/edgar/data/1609351/000160935119000047/spark-201933110xq.htm,verified-from-source,"Reported as $9.8m in the 10-Q; exact 9,782 = 6M 21,242 less Q2 11,460. Gross sales $12.3m less allowances $2.5m."
Luxturna,2019Q2,US,11.460,USD,"Spark Therapeutics Form 10-Q, period 2019-06-30",https://www.sec.gov/Archives/edgar/data/1609351/000160935119000070/spark-201963010xq.htm,verified-from-source,"$11,460 thousand."
Luxturna,2019H1,US,21.242,USD,"Spark Therapeutics Form 10-Q, period 2019-06-30",https://www.sec.gov/Archives/edgar/data/1609351/000160935119000070/spark-201963010xq.htm,verified-from-source,"Six months ended 30 June 2019."
Luxturna,2019Q3,US,6.918,USD,"Spark Therapeutics Form 10-Q, period 2019-09-30",https://www.sec.gov/Archives/edgar/data/1609351/000160935119000072/spark-201993010xq.htm,verified-from-source,"$6,918 thousand."
Luxturna,2019 9M,US,28.160,USD,"Spark Therapeutics Form 10-Q, period 2019-09-30",https://www.sec.gov/Archives/edgar/data/1609351/000160935119000072/spark-201993010xq.htm,verified-from-source,"Nine months ended 30 September 2019."
