product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Omisirge,list_price,2023-04-17,US,338000,USD per treatment,"Omisirge has a wholesale acquisition cost (WAC) of $338,000 for the one-time treatment","Global Reach Health page on the Omisirge approval, as shown in Brave search results; figure originally reported by trade press (Fierce Pharma, April 2023) citing Gamida Cell",https://search.brave.com/search?q=Gamida+Cell+Omisirge+omidubicel+price+%24338%2C000+wholesale+acquisition+cost&source=web,provisional-from-snippet,"WAC of the cell product only; excludes conditioning and transplant costs. Not stated in the Gamida 10-Q/10-K documents read. Net revenue per unit in the filings was 0.297-0.337 million, consistent with WAC less deductions."
Omisirge,statement,2023-09-30,US,,first commercial patient,"In September 2023, the first patient received a stem cell transplant with Omisirge","Gamida Cell 10-Q for the quarter ended September 30, 2023 (2023-11-14)",https://www.sec.gov/Archives/edgar/data/1600847/000121390023086948/f10q0923_gamidacell.htm,verified-from-source,About five months after FDA approval (2023-04-17).
Omisirge,patients_period,2023-09-30,US,2,units delivered in quarter,Net revenue...consisted of two units of Omisirge being delivered to transplant centers,"Gamida Cell 10-Q for the quarter ended September 30, 2023 (2023-11-14)",https://www.sec.gov/Archives/edgar/data/1600847/000121390023086948/f10q0923_gamidacell.htm,verified-from-source,Units delivered = patients (one unit per transplant).
Omisirge,statement,2023-09-30,US,,revenue recognition basis,"Revenues from sales of products are recognized at the point in time of transfer of control of the product, which is the time of delivery to a transplant center.","Gamida Cell 10-Q for the quarter ended September 30, 2023 (2023-11-14)",https://www.sec.gov/Archives/edgar/data/1600847/000121390023086948/f10q0923_gamidacell.htm,verified-from-source,"Q1 2024 10-Q refines this to '24 hours after delivery to a transplant center'. Revenue therefore tracks deliveries, effectively infusions."
Omisirge,statement,2023-09-30,US,,going concern / strategic alternatives,"To support a more fulsome commercial launch of Omisirge, we are exploring potential commercial or strategic options, including a sale of our assets or merger.","Gamida Cell 10-Q for the quarter ended September 30, 2023 (2023-11-14)",https://www.sec.gov/Archives/edgar/data/1600847/000121390023086948/f10q0923_gamidacell.htm,verified-from-source,Same 10-Q: 'These conditions raise substantial doubt about the Company's ability to continue as a going concern.'
Omisirge,patients_cumulative,2023-12-31,US,6,units delivered (calendar 2023),"In 2023, six units of Omisirge were delivered for patients.","Gamida Cell 10-K for the year ended December 31, 2023 (2024-03-27)",https://www.sec.gov/Archives/edgar/data/1600847/000121390024026229/ea0202430-10k_gamida.htm,verified-from-source,Cumulative since launch at 2023-12-31 (launch was Sept 2023).
Omisirge,statement,2023-12-31,US,1000,patients per year at peak (company projection),"Based on our current launch trajectory, Omisirge has the potential to treat approximately 1,000 patients each year at peak market share, which would be approximately 10% of the addressable U.S. patient population.","Gamida Cell 10-K for the year ended December 31, 2023 (2024-03-27)",https://www.sec.gov/Archives/edgar/data/1600847/000121390024026229/ea0202430-10k_gamida.htm,verified-from-source,"Company projection, not an uptake datum; implies an addressable US population of about 10,000 per year."
Omisirge,statement,2024-03-26,US,,restructuring / going private,"on March 26, 2024, we entered into a Restructuring Support Agreement, or the Support Agreement, with certain funds managed by Highbridge Capital Management, LLC...all outstanding shares of Gamida Cell Ltd. will be cancelled...Gamida Cell Ltd. will continue to exist as a private operating company that is owned entirely by Highbridge.","Gamida Cell 10-K for the year ended December 31, 2023 (2024-03-27)",https://www.sec.gov/Archives/edgar/data/1600847/000121390024026229/ea0202430-10k_gamida.htm,verified-from-source,"10-K also: 'To date, this strategic review process has not yielded any viable strategic alternatives.' and 'After our restructuring process, we will no longer be a public reporting company listed on Nasdaq.'"
Omisirge,patients_period,2024-03-31,US,3,units delivered in quarter,"three units of Omisirge being delivered to transplant centers, net of revenue deductions","Gamida Cell 10-Q for the quarter ended March 31, 2024 (2024-05-23)",https://www.sec.gov/Archives/edgar/data/1600847/000121390024046302/ea0206597-10q_gamidacell.htm,verified-from-source,Cumulative disclosed units through 2024-03-31: 9.
Omisirge,statement,2024-05-23,US,,wind-down of public reporting,"Immediately following the closing of our restructuring process, which we anticipate will occur on or about May 24, 2024, we intend to file a Form 15","Gamida Cell 10-Q for the quarter ended March 31, 2024 (2024-05-23)",https://www.sec.gov/Archives/edgar/data/1600847/000121390024046302/ea0206597-10q_gamidacell.htm,verified-from-source,"Same 10-Q: 'our ordinary shares began trading on the over-the-counter market on April 26, 2024'; 'Our remaining employees will continue to support the commercialization of Omisirge'. No further public revenue or patient data after this filing."
Omisirge,centres,2023-09-30,US,15,transplant centres onboarded,onboarded 15 transplant centers,"CGTlive article 'Gamida Cell Omisirge administered to first patient in commercial setting', as shown in Brave search results (date shown on results page implausible; article is from the Sept 2023 first-patient announcement)",https://search.brave.com/search?q=Gamida+Cell+Omisirge+omidubicel+price+%24338%2C000+wholesale+acquisition+cost&source=web,provisional-from-snippet,Snippet only; the number of centres is not stated in the 10-Q/10-K documents read. Treat as approximate at the time of the first commercial patient (Sept 2023).
