product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Provenge,list_price,2010-04-29,US,93000,USD per course of treatment (3 infusions),"Dendreon said Provenge would cost a total of $93,000 for the full treatment of three infusions.","Reuters, 'U.S. FDA OKs Dendreon's prostate cancer vaccine' (2010-04-29), as shown in Brave search results; corroborated by New York Times (2010-04-30) 'A full treatment will cost $93,000' and Fierce Pharma/Fierce Biotech (2010-04-30) 'Each infusion of Provenge will cost $31,000, bringing the full cost of treatment to $93,000'",https://search.brave.com/search?q=Dendreon+Provenge+%2493%2C000+price+course+of+treatment+2010+announced&source=web,provisional-from-snippet,"Launch WAC stated by Dendreon on approval day; $31,000 per infusion x 3. None of the Dendreon 10-K/10-Q documents read states the price; the Q1 2014 10-Q refers to later 'price increases of PROVENGE'. Article URLs (reuters.com/article/business/u-s-fda-oks-dendreon-s-prostate-cancer-vaccine-idUSN29198388/, nytimes.com/2010/04/30/health/30drug.html) as displayed on the results page."
Provenge,statement,2010-04-29,US,2000,patients (first-year projection),"Dendreon Sets Provenge Price at $93,000, Says Only 2,000 People Will Get it in First Year","Headline quoted in a ResearchGate listing, as shown in Brave search results",https://search.brave.com/search?q=Dendreon+Provenge+%2493%2C000+price+course+of+treatment+2010+announced&source=web,provisional-from-snippet,Company projection at launch reflecting manufacturing capacity limits (only ~25% of the New Jersey facility approved in 2010). Not an actual count.
Provenge,statement,2010-05-01,US,,first commercial sale,Commercial sale of PROVENGE began in May 2010.,"Dendreon 10-K for the year ended December 31, 2010 (2011-03-01)",https://www.sec.gov/Archives/edgar/data/1107332/000095012311020518/v57497e10vk.htm,verified-from-source,Also in the Q3 2014 10-Q. FDA approval 2010-04-29.
Provenge,statement,2010-12-31,US,25,percent of New Jersey facility capacity FDA-approved,approximately 25% of the capacity at our New Jersey Facility had been approved by the FDA,"Dendreon 10-K for the year ended December 31, 2010 (2011-03-01)",https://www.sec.gov/Archives/edgar/data/1107332/000095012311020518/v57497e10vk.htm,verified-from-source,"10-K: 'We presently not at capacity sufficient to manufacture PROVENGE in quantities sufficient to fulfill patient demand.' 2010 uptake was supply-limited, not demand-limited."
Provenge,statement,2011-06-30,US,,manufacturing capacity,"On March 10, 2011, the FDA approved the remainder of the New Jersey Facility for the commercial manufacture of PROVENGE","Dendreon 10-Q for the quarter ended June 30, 2011 (2011-08-03)",https://www.sec.gov/Archives/edgar/data/1107332/000119312511208151/d10q.htm,verified-from-source,"Same 10-Q: 'on June 29, 2011 the FDA approved our Orange County Facility for the commercial manufacture of PROVENGE'; Atlanta licensure requested 2011-04-28. Capacity constraint lifted during 2011; demand shortfall then emerged (Aug 2011 guidance withdrawal, not captured verbatim)."
Provenge,statement,2011-06-30,US,,revenue recognition basis,Revenue from sales of PROVENGE is recognized upon our confirmed product delivery to and issuance of the product release form to the physician site.,"Dendreon 10-Q for the quarter ended June 30, 2011 (2011-08-03)",https://www.sec.gov/Archives/edgar/data/1107332/000119312511208151/d10q.htm,verified-from-source,"Recognition at delivery/release of each infusion (three infusions per course, about two weeks apart), so revenue tracks infusions closely."
Provenge,centres,2011-06-30,US,500,infusion sites (year-end 2011 target),we expect to establish relationships with an additional 450 infusion sites during 2011 and support approximately 500 infusion sites by year end,"Dendreon 10-Q for the quarter ended June 30, 2011 (2011-08-03)",https://www.sec.gov/Archives/edgar/data/1107332/000119312511208151/d10q.htm,verified-from-source,"Target, not actual; FY2010 10-K had said 'approximately 450 infusion sites by the end of 2011'."
Provenge,statement,2011-09-02,US,500,employees cut (approx.),"On September 2, 2011, our Board of Directors approved a reduction in force of approximately 25% of our total workforce, or approximately 500 employees.","Dendreon 10-Q for the quarter ended September 30, 2011 (2011-11-02)",https://www.sec.gov/Archives/edgar/data/1107332/000119312511292830/d237118d10q.htm,verified-from-source,Charge of $38.5 million in Q3 2011. Restructuring followed slower-than-expected uptake attributed to physician reimbursement concerns.
Provenge,centres,2011-12-31,US,590,infusion sites authorised,Approximately 590 infusion sites had been authorized by us for physician treatment using PROVENGE as of the end of 2011.,"Dendreon 10-K for the year ended December 31, 2011 (2012-02-29)",https://www.sec.gov/Archives/edgar/data/1107332/000119312512086225/d260773d10k.htm,verified-from-source,Authorised sites (not necessarily all treating).
Provenge,centres,2012-06-30,US,687,parent accounts that have infused,"Approximately 687 parent accounts, some of which have multiple sites, have infused the product as of the end of June 2012.","Dendreon 10-Q for the quarter ended June 30, 2012 (2012-07-31)",https://www.sec.gov/Archives/edgar/data/1107332/000119312512323922/d377194d10q.htm,verified-from-source,Cumulative accounts that had infused at least once.
Provenge,statement,2012-07-30,US,600,positions cut (more than),"On July 30 2012, we announced a strategic restructuring plan that includes re-configuring our manufacturing model with the closure of our New Jersey manufacturing facility.","Dendreon 10-Q for the quarter ended June 30, 2012 (2012-07-31)",https://www.sec.gov/Archives/edgar/data/1107332/000119312512323922/d377194d10q.htm,verified-from-source,"'we expect to reduce costs by approximately $150 million annually, including a reduction in headcount of more than 600 full-time and contractor positions.'"
Provenge,centres,2012-09-30,US,741,parent accounts that have infused,"Approximately 741 parent accounts, some of which have multiple sites, had infused the product as of the end of September 2012.","Dendreon 10-Q for the quarter ended September 30, 2012 (2012-11-02)",https://www.sec.gov/Archives/edgar/data/1107332/000119312512448006/d425623d10q.htm,verified-from-source,Cumulative.
Provenge,statement,2013-09-17,Europe,,EU marketing authorisation,"On September 17, 2013, we announced that the European Commission has granted marketing authorization for PROVENGE...for the treatment of asymptomatic or minimally symptomatic metastatic (non-visceral) castrate resistant prostate cancer.","Dendreon 10-K for the year ended December 31, 2013 (2014-03-03)",https://www.sec.gov/Archives/edgar/data/1107332/000119312514079705/d650543d10k.htm,verified-from-source,"Q1 2014 10-Q: 'In Germany and the United Kingdom, Dendreon will make PROVENGE commercially available to patients within the approved label through Centers of Excellence using its Contract Manufacturing Organization, PharmaCell.' No European revenue disclosed; EU authorisation was withdrawn in 2015 at the company's request (not verified here)."
Provenge,centres,2013-12-31,US,935,parent accounts that have infused,"Approximately 935 parent accounts, some of which have multiple sites, had infused the product as of the end of 2013.","Dendreon 10-K for the year ended December 31, 2013 (2014-03-03)",https://www.sec.gov/Archives/edgar/data/1107332/000119312514079705/d650543d10k.htm,verified-from-source,Cumulative. Restructuring announced 2013-11-12 (about 740 employees remaining per the Q1 2014 10-Q).
Provenge,centres,2014-03-31,US,945,parent accounts that have infused,"Approximately 945 parent accounts, some of which have multiple sites, had infused our product as of March 31, 2014.","Dendreon 10-Q for the quarter ended March 31, 2014 (2014-05-08)",https://www.sec.gov/Archives/edgar/data/1107332/000119312514190026/d722939d10q.htm,verified-from-source,Cumulative. Same 10-Q: 'The increase was due to price increases of PROVENGE.'
Provenge,centres,2014-06-30,US,970,parent accounts that have infused,"Approximately 970 parent accounts, some of which have multiple sites, had infused our product as of June 30, 2014.","Dendreon 10-Q for the quarter ended June 30, 2014 (2014-08-11)",https://www.sec.gov/Archives/edgar/data/1107332/000119312514305042/d774769d10q.htm,verified-from-source,"Cumulative; last account count found. Dendreon never disclosed a cumulative patient count in the documents read; patients per year can be approximated as net revenue divided by net price per course (about 93,000 at launch, higher after price increases)."
Provenge,statement,2014-11-10,US,,Chapter 11 filing,"On November 10, 2014, we and our wholly owned subsidiaries Dendreon Holdings, LLC, Dendreon Distribution, LLC and Dendreon Manufacturing, LLC (collectively, the 'Debtor Subsidiaries') filed voluntary petitions for relief under Chapter 11 of Title 11 of the United States Code.","Dendreon 10-Q for the quarter ended September 30, 2014 (2014-11-10)",https://www.sec.gov/Archives/edgar/data/1107332/000119312514404506/d818121d10q.htm,verified-from-source,Same 10-Q: 'The commencement of the Chapter 11 Cases raises substantial doubt as to whether we will be able to continue as a going concern for accounting purposes.' Assets sold to Valeant (closed Feb 2015).
Provenge,statement,2016-12-31,US,,annual revenue under Valeant,"Our revenues from Provenge were $303 million, $250 million and $0 in 2016, 2015 and 2014, respectively.","Valeant Pharmaceuticals International 10-K for the year ended December 31, 2016 (2017-03-01)",https://www.sec.gov/Archives/edgar/data/885590/000088559017000015/valeant2016form10-k.htm,verified-from-source,"Provenge reported in Valeant's Branded Rx segment; no quarterly, price or patient disclosures. FY2015 10-K lists Provenge under the Developed Markets segment without a revenue figure."
Provenge,statement,2017-01-31,US,820,USD million sale price,"In January 2017, we entered into a definitive agreement to sell all of the outstanding equity interests in our subsidiary, Dendreon Pharmaceuticals, Inc. ('Dendreon'), which holds the worldwide rights to Provenge, an autologous cellular immunotherapy (vaccine) for prostate cancer treatment approved by the FDA in April 2010, for a purchase price of $820 million in cash.","Valeant Pharmaceuticals International 10-K for the year ended December 31, 2016 (2017-03-01)",https://www.sec.gov/Archives/edgar/data/885590/000088559017000015/valeant2016form10-k.htm,verified-from-source,Buyer: Sanpower Group (China). After closing (mid-2017) Provenge revenue is no longer publicly reported; reporting stopped.
