product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Ryoncil,list_price,2025-02-26,US,194000,USD per intravenous infusion (vial),"The wholesale acquisition cost price of Ryoncil is $194,000 per intravenous infusion. Based on the recommended dosing schedule - twice-weekly infusions over four weeks - the full course of treatment can reach over $1.5 million.","Managed Healthcare Executive (2026-07-08) as shown in Brave search results; original pricing announcement by Mesoblast via GlobeNewswire (2025-02-26), 'Mesoblast Prices Ryoncil at $194,000 Per Infusion'; BioSpace (2025-02-27); BioWorld (2025-03-04) 'roughly $1.55 million' per course",https://search.brave.com/search?q=Mesoblast+Ryoncil+remestemcel+price+per+vial+wholesale+acquisition+cost+per+course+of+treatment&source=web,provisional-from-snippet,"WAC per infusion; label dose 2 million cells/kg twice weekly for 4 weeks = 8 infusions, so a full course is about $1.55 million at list (paediatric patients, weight-based vials). None of the Mesoblast 6-K documents read states the price. Article URLs not captured from the results page."
Ryoncil,list_price,2025-02-26,US,1550000,USD per course of treatment (8 infusions),Confirms pricing at 'roughly $1.55 million' for full treatment course,BioWorld (2025-03-04) as shown in Brave search results,https://search.brave.com/search?q=Mesoblast+Ryoncil+remestemcel+price+per+vial+wholesale+acquisition+cost+per+course+of+treatment&source=web,provisional-from-snippet,"Derived by the outlets as 8 x 194,000 = 1,552,000. Actual course length varies with response (label allows continued dosing), so revenue per patient is not fixed."
Ryoncil,statement,2025-03-28,US,,first commercial availability,"Ryoncil became commercially available for purchase on March 28, 2025","Mesoblast 6-K Ex-99.1, Financial Results and Operational Update for the Full Year Ended June 30, 2025 (2025-08-29)",https://www.sec.gov/Archives/edgar/data/1345099/000134509925000068/exhibit991.htm,verified-from-source,"FDA approval 2024-12-19; product available 3 months later, so the first revenue quarter is calendar 2025Q2."
Ryoncil,centres,2025-08-29,US,32,transplant centres onboarded,"To date, we have onboarded 32 transplant centers and aim to have onboarded by the end of this quarter the top 45 centers","Mesoblast 6-K Ex-99.1, Financial Results and Operational Update for the Full Year Ended June 30, 2025 (2025-08-29)",https://www.sec.gov/Archives/edgar/data/1345099/000134509925000068/exhibit991.htm,verified-from-source,As of the release date (late Aug 2025).
Ryoncil,payer_coverage,2025-08-29,US,250000000,US covered lives,Coverage for Ryoncil continues to expand with over 250 million US lives insured by commercial and government payers,"Mesoblast 6-K Ex-99.1, Financial Results and Operational Update for the Full Year Ended June 30, 2025 (2025-08-29)",https://www.sec.gov/Archives/edgar/data/1345099/000134509925000068/exhibit991.htm,verified-from-source,Floor ('over 250 million').
Ryoncil,statement,2025-06-30,US,14.6,percent gross-to-net,US$13.2 million gross sales and US$11.3 million in reported net sales after 14.6% gross to net adjustment,"Mesoblast 6-K Ex-99.1, Financial Results and Operational Update for the Full Year Ended June 30, 2025 (2025-08-29)",https://www.sec.gov/Archives/edgar/data/1345099/000134509925000068/exhibit991.htm,verified-from-source,Gross-to-net for the first full quarter of sales; FY2026 gross-to-net 13.4%.
Ryoncil,statement,2025-10-07,US,,revenue growth,"(gross revenue US$21.9 million, 66% increase on the prior quarter ended June 30, 2025)","Mesoblast 6-K Ex-99.1, 'Ryoncil revenues increase 66% in second quarter post launch' (2025-10-07)",https://www.sec.gov/Archives/edgar/data/1345099/000134509925000084/exhibit991ryoncilsalesup.htm,verified-from-source,"No patient count, centre count or covered-lives figure in this sales update; it mentions 'reimbursement by both commercial and government payers'."
Ryoncil,statement,2026-01-09,US,,revenue growth,"(gross revenue of US$35.1 million, 60% increase on prior quarter)","Mesoblast 6-K Ex-99.1, Ryoncil sales update for quarter ended December 31, 2025 (2026-01-09)",https://www.sec.gov/Archives/edgar/data/1345099/000134509926000007/exhibit991ryoncilsalesde.htm,verified-from-source,No patient count or centre count in this sales update.
Ryoncil,statement,2026-06-01,US,100,USD million cumulative net revenue since launch,Net revenue has exceeded US$100M since launch last year,"Mesoblast 6-K Ex-99.1, ASX CEO Connect presentation dated 1 June 2026 (filed 2026-06-10)",https://www.sec.gov/Archives/edgar/data/1345099/000134509926000058/exhibit991asxceoconnectp.htm,verified-from-source,"Cumulative net revenue floor as of 1 June 2026; at ~$1.3-1.5 million net per full course this is on the order of 70-80 full courses, but Mesoblast has not disclosed a patient count (analyst arithmetic, not a company statement)."
Ryoncil,centres,2026-08-27,US,50,transplant centres onboarded (cumulative since launch),"onboarding more than 50 sites since launch, including 14 of the 15 largest sites","Mesoblast 6-K Ex-99.1, Financial Results and Operational Update for Full Year Ended June 30, 2026 (2026-08-27)",https://www.sec.gov/Archives/edgar/data/1345099/000134509926000083/exhibit991financialresul.htm,verified-from-source,Floor ('more than 50'); presentation slide: '>50 centers onboarded'.
Ryoncil,payer_coverage,2026-08-27,US,280000000,US covered lives,Expanded payer coverage and reimbursement access to over 280 million covered lives,"Mesoblast 6-K Ex-99.1, Financial Results and Operational Update for Full Year Ended June 30, 2026 (2026-08-27)",https://www.sec.gov/Archives/edgar/data/1345099/000134509926000083/exhibit991financialresul.htm,verified-from-source,Floor.
Ryoncil,statement,2026-08-27,US,13.4,percent gross-to-net,net revenue of US$115.2 million after gross to net adjustment of 13.4%,"Mesoblast 6-K Ex-99.1, Financial Results and Operational Update for Full Year Ended June 30, 2026 (2026-08-27)",https://www.sec.gov/Archives/edgar/data/1345099/000134509926000083/exhibit991financialresul.htm,verified-from-source,"FY2026 (Jul 2025-Jun 2026). Note: the '350 patients treated' in the same release refers to the Phase 3 chronic low back pain trial (rexlemestrocel-L), not to Ryoncil commercial patients; no commercial patient count is disclosed in any Mesoblast document read."
