product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Skysona,list_price,2022-09-16,US,3000000,USD per treatment,bluebird has set the wholesale acquisition cost of SKYSONA in the U.S. at $3.0M.,"bluebird bio 8-K Ex-99.1, bluebird bio Receives FDA Accelerated Approval for SKYSONA Gene Therapy for Early, Active Cerebral Adrenoleukodystrophy (CALD) (2022-09-16, filed 2022-09-19)",https://www.sec.gov/Archives/edgar/data/1293971/000129397122000055/exhibit99120220916.htm,verified-from-source,Company statement in the FDA accelerated-approval press release. Release also states commercial product expected to be available by the end of 2022 through a limited number of QTCs including Boston Children's Hospital and Children's Hospital of Philadelphia.
Skysona,patients_infused,2023-03-31,US,1,patients infused (cumulative floor),First commercial infusion with SKYSONA was completed in March 2023,"bluebird bio 8-K Ex-99.1, bluebird bio Reports First Quarter 2023 Financial Results and Highlights Operational Progress (2023-05-09)",https://www.sec.gov/Archives/edgar/data/1293971/000129397123000021/exhibit99120230509.htm,verified-from-source,First SKYSONA revenue recognised in Q1 2023 ($2.3M).
Skysona,patients_cumulative,2023-05-09,US,3,patients with cell collection completed since launch,cell collection has been completed for three patients,"bluebird bio 8-K Ex-99.1, bluebird bio Reports First Quarter 2023 Financial Results and Highlights Operational Progress (2023-05-09)",https://www.sec.gov/Archives/edgar/data/1293971/000129397123000021/exhibit99120230509.htm,verified-from-source,Guidance: 5-10 patient starts this year (2023).
Skysona,centres,2023-05-09,US,3,qualified treatment centres activated,bluebird has activated three qualified treatment centers (QTCs),"bluebird bio 8-K Ex-99.1, bluebird bio Reports First Quarter 2023 Financial Results and Highlights Operational Progress (2023-05-09)",https://www.sec.gov/Archives/edgar/data/1293971/000129397123000021/exhibit99120230509.htm,verified-from-source,
Skysona,patients_cumulative,2023-08-08,US,5,patients with cell collection completed since launch,Cell collection has been completed for 5 patients for SKYSONA to date,"bluebird bio 8-K Ex-99.1, bluebird bio Reports Second Quarter 2023 Financial Results and Highlights Operational Progress (2023-08-08)",https://www.sec.gov/Archives/edgar/data/1293971/000129397123000040/exhibit99120230808.htm,verified-from-source,
Skysona,centres,2023-08-08,US,4,qualified treatment centres activated,"Since approval, bluebird has activated four QTCs to administer SKYSONA","bluebird bio 8-K Ex-99.1, bluebird bio Reports Second Quarter 2023 Financial Results and Highlights Operational Progress (2023-08-08)",https://www.sec.gov/Archives/edgar/data/1293971/000129397123000040/exhibit99120230808.htm,verified-from-source,
Skysona,patients_cumulative,2023-11-07,US,6,patients with cell collection completed since launch,Cell collection has been completed for 6 patients for SKYSONA to date.,"bluebird bio 8-K Ex-99.1, bluebird bio Reports Third Quarter 2023 Financial Results and Highlights Operational Progress (2023-11-07)",https://www.sec.gov/Archives/edgar/data/1293971/000129397123000053/exhibit99120231107.htm,verified-from-source,Release: four (QTCs) have been activated to administer SKYSONA; continues to anticipate 5-10 patient starts this year.
Skysona,patients_period,2023-12-31,US,6,patient starts in calendar 2023,"26 patient starts were completed in 2023 across bluebird's commercial portfolio, including 20 for ZYNTEGLO and 6 for SKYSONA.","bluebird bio 8-K Ex-99.1, bluebird bio Provides Update on Commercial Launch Progress, Program Milestones, and 2024 Financial Outlook (2024-01-08)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000004/exhibit99120240108.htm,verified-from-source,Cumulative SKYSONA starts since launch at 2023-12-31 = 6.
Skysona,patients_period,2024-03-26,US,2,patient starts in 2024 to date,Completed 2 patient starts for SKYSONA since the beginning of 2024,"bluebird bio 8-K Ex-99.1, bluebird bio Reports Fourth Quarter and 2023 Annual Results and Highlights Operational Progress and 2024 Guidance (2024-03-26)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000010/exhibit99120240324.htm,verified-from-source,
Skysona,centres,2024-03-26,US,5,qualified treatment centres activated,Five centers are also activated to administer SKYSONA,"bluebird bio 8-K Ex-99.1, bluebird bio Reports Fourth Quarter and 2023 Annual Results and Highlights Operational Progress and 2024 Guidance (2024-03-26)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000010/exhibit99120240324.htm,verified-from-source,
Skysona,patients_period,2024-05-09,US,3,patient starts in 2024 to date,"15 patient starts to date in 2024 (11 ZYNTEGLO, 3 SKYSONA, 1 LYFGENIA)","bluebird bio 8-K Ex-99.1, bluebird bio Reports First Quarter 2024 Results and Highlights Operational Progress and 2024 Guidance (2024-05-09)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000020/exhibit99120240509.htm,verified-from-source,
Skysona,centres,2024-05-09,US,6,qualified treatment centres activated,Six centers are also activated to administer SKYSONA,"bluebird bio 8-K Ex-99.1, bluebird bio Reports First Quarter 2024 Results and Highlights Operational Progress and 2024 Guidance (2024-05-09)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000020/exhibit99120240509.htm,verified-from-source,Unchanged at six through 2025-03-25.
Skysona,patients_period,2024-08-14,US,4,patient starts in 2024 to date,"27 patient starts to date in 2024 (19 ZYNTEGLO, 4 LYFGENIA, 4 SKYSONA)","bluebird bio 8-K Ex-99.1, bluebird bio Reports Second Quarter 2024 Results and Highlights Operational Progress and 2024 Guidance (2024-08-14)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000024/exhibit99120240813.htm,verified-from-source,
Skysona,patients_period,2024-11-14,US,5,patient starts in 2024 to date,"57 patient starts completed to date in 2024 (35 ZYNTEGLO, 17 LYFGENIA, 5 SKYSONA).","bluebird bio 8-K Ex-99.1, bluebird bio Reports Third Quarter 2024 Results and Highlights Operational Progress and 2024 Guidance (2024-11-14)",https://www.sec.gov/Archives/edgar/data/1293971/000129397124000076/exhibit99120241114.htm,verified-from-source,
