product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Tecelra,list_price,2024-08-01,US,,USD per treatment (WAC),"","EDGAR full-text search of Adaptimmune filings for '727,000' (run 2026-09-04)",https://efts.sec.gov/LATEST/search-index?q=%22727%2C000%22&ciks=0001621227,gap,"The approval press release and every Adaptimmune release read are silent on price; EDGAR full-text search of Adaptimmune filings for '727,000' returned zero hits; drugs.com blocked (HTTP 403); WebSearch quota exhausted. Trade press at approval widely reported a WAC of $727,000 per treatment - UNVERIFIED here. Implied net revenue per invoiced patient from company data: (1.2 + 15.126) / 24 = ~$0.68M."
Tecelra,centres,2024-08-01,US,,authorized treatment centres (plan),"Adaptimmune plans to have at least six to ten authorized treatment centers (ATCs) up and running this year and to onboard approximately 30 treatment centers within the first two years.","Adaptimmune 8-K Ex-99.1, Adaptimmune Receives U.S. FDA Accelerated Approval of TECELRA (2024-08-01)",https://www.sec.gov/Archives/edgar/data/1621227/000110465924085098/tm2420733d1_ex99-1.htm,verified-from-source,"Plan at approval."
Tecelra,patients_period,2024-12-31,US,3,patients apheresed in 2024,"Apheresed 3 patients in 2024 and invoiced 2 with Q4 product revenue of $1.2m","Adaptimmune 8-K Ex-99.1, Adaptimmune Provides Q4 and Full Year 2024 Business Update (2025-03-20)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025003340/adap-20250320xex99d1.htm,verified-from-source,""
Tecelra,patients_period,2024-12-31,US,2,patients invoiced in Q4 2024,"Apheresed 3 patients in 2024 and invoiced 2 with Q4 product revenue of $1.2m","Adaptimmune 8-K Ex-99.1, Adaptimmune Provides Q4 and Full Year 2024 Business Update (2025-03-20)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025003340/adap-20250320xex99d1.htm,verified-from-source,"Revenue per invoiced patient $0.6M."
Tecelra,centres,2025-03-20,US,20,ATCs accepting referrals,"20 Authorized Treatment Centers (ATCs) now accepting referrals","Adaptimmune 8-K Ex-99.1, Adaptimmune Provides Q4 and Full Year 2024 Business Update (2025-03-20)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025003340/adap-20250320xex99d1.htm,verified-from-source,"'On track to have the full network of approximately 30 ATCs open by end of 2025'."
Tecelra,patients_period,2025-03-20,US,10,patients apheresed in 2025 to date,"Apheresed 10 patients in 2025 to date","Adaptimmune 8-K Ex-99.1, Adaptimmune Provides Q4 and Full Year 2024 Business Update (2025-03-20)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025003340/adap-20250320xex99d1.htm,verified-from-source,"As of 2025-03-20."
Tecelra,statement,2025-03-20,US,,manufacturing,"100% success rate in manufacturing to date with no capacity constraints","Adaptimmune 8-K Ex-99.1, Adaptimmune Provides Q4 and Full Year 2024 Business Update (2025-03-20)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025003340/adap-20250320xex99d1.htm,verified-from-source,"No supply constraint."
Tecelra,centres,2025-05-13,US,28,ATCs accepting referrals,"28 Authorized Treatment Centers (ATCs) now accepting referrals","Adaptimmune 8-K Ex-99.1, Adaptimmune Reports Q1 Financial Results and Provides Business Update (2025-05-13)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025007493/adap-20250513xex99d1.htm,verified-from-source,""
Tecelra,patients_cumulative,2025-05-09,US,16,patients invoiced (cumulative),"Invoiced 2 patients in Q4 2024, 6 in Q1 2025, and 8 in Q2 to-date (as of May 9, 2025)","Adaptimmune 8-K Ex-99.1, Adaptimmune Reports Q1 Financial Results and Provides Business Update (2025-05-13)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025007493/adap-20250513xex99d1.htm,derived,"2 + 6 + 8 = 16 (analyst arithmetic). The same release also summarises '28 ATCs available; 21 patients aphresed; and 14 doses invoiced', an inconsistent headline count - both quoted."
Tecelra,patients_cumulative,2025-05-09,US,24,patients apheresed (cumulative),"Apheresed 3 patients in Q4 2024, 13 in Q1 2025, and 8 in Q2 to-date (as of May 9, 2025)","Adaptimmune 8-K Ex-99.1, Adaptimmune Reports Q1 Financial Results and Provides Business Update (2025-05-13)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025007493/adap-20250513xex99d1.htm,derived,"3 + 13 + 8 = 24 (analyst arithmetic)."
Tecelra,statement,2025-05-13,US,,access / manufacturing / strategic review,"Successful patient access to Tecelra with no payer denials to date ... 100% success rate in manufacturing to date, with no capacity constraints and an average turnaround of 27 days ... Review of strategic options with TD Cowen in progress","Adaptimmune 8-K Ex-99.1, Adaptimmune Reports Q1 Financial Results and Provides Business Update (2025-05-13)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025007493/adap-20250513xex99d1.htm,verified-from-source,"Three bullet points joined."
Tecelra,patients_period,2025-06-30,US,16,patients invoiced in Q2 2025,"Q2 Tecelra sales of $11.1m with 16 patients invoiced represents >150% growth vs Q1 2025","Adaptimmune 8-K Ex-99.1, Adaptimmune Reports Q2 Financial Results and Provides Business Update (2025-08-13)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025011304/adap-20250813xex99d1.htm,verified-from-source,"Revenue per invoiced patient $0.69M."
