product,period,region,revenue_musd,currency,source_doc,source_url,status,notes
Tecelra,2024Q3,Total,0.0,USD,"Adaptimmune 8-K Ex-99.1, Adaptimmune Provides Q4 and Full Year 2024 Business Update (2025-03-20)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025003340/adap-20250320xex99d1.htm,derived,"Approval 2024-08-01. The FY2024 update attributes all 2024 revenue to Q4 ('Apheresed 3 patients in 2024 and invoiced 2 with Q4 product revenue of $1.2m'), so Q3 2024 = 0. US only throughout."
Tecelra,2024Q4,Total,1.2,USD,"Adaptimmune 8-K Ex-99.1, Adaptimmune Provides Q4 and Full Year 2024 Business Update (2025-03-20)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025003340/adap-20250320xex99d1.htm,verified-from-source,"First commercial quarter; 2 patients invoiced. Wording ('invoiced') indicates revenue recognised on invoicing/delivery of the dose, not on infusion."
Tecelra,2024FY,Total,1.2,USD,"Adaptimmune 8-K Ex-99.1, Adaptimmune Provides Q4 and Full Year 2024 Business Update (2025-03-20)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025003340/adap-20250320xex99d1.htm,derived,"Annual aggregate - equals Q4 2024; no separate full-year figure stated."
Tecelra,2025Q1,Total,4.0,USD,"Adaptimmune 8-K Ex-99.1, Adaptimmune Reports Q1 Financial Results and Provides Business Update (2025-05-13)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025007493/adap-20250513xex99d1.htm,verified-from-source,"'$4.0 million Tecelra net sales in Q1 2025'; 6 patients invoiced in Q1 2025. Statement-of-operations basis from the Q2 2025 release: 15.126 - 11.078 = 4.048."
Tecelra,2025Q2,Total,11.1,USD,"Adaptimmune 8-K Ex-99.1, Adaptimmune Reports Q2 Financial Results and Provides Business Update (2025-08-13)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025011304/adap-20250813xex99d1.htm,verified-from-source,"'Product revenue, net $11,078' thousand; 16 patients invoiced; '>150% growth vs Q1 2025'. Last quarter reported by Adaptimmune."
Tecelra,2025H1,Total,15.1,USD,"Adaptimmune 8-K Ex-99.1, Adaptimmune Reports Q2 Financial Results and Provides Business Update (2025-08-13)",https://www.sec.gov/Archives/edgar/data/1621227/000155837025011304/adap-20250813xex99d1.htm,verified-from-source,"Half-year aggregate - do not double count. Statement: 15,126 thousand."
Tecelra,2025Q3,Total,,USD,"Adaptimmune 8-K Ex-99.1, Adaptimmune Announces Delisting from Nasdaq (2025-10-20)",https://www.sec.gov/Archives/edgar/data/1621227/000110465925100618/adap-20251015xex99d1.htm,gap,"TECELRA was sold to US WorldMeds (closing 2025-07-31). July 2025 sales were never reported: Adaptimmune filed no Q3 2025 10-Q, announced voluntary Nasdaq delisting on 2025-10-20 and a Form 15 suspending all periodic reporting. US WorldMeds is privately held."
Tecelra,2025Q4,Total,,USD,"Adaptimmune 8-K Ex-99.1, Adaptimmune Announces Delisting from Nasdaq (2025-10-20)",https://www.sec.gov/Archives/edgar/data/1621227/000110465925100618/adap-20251015xex99d1.htm,gap,"No public disclosure by US WorldMeds (private). Only public indicator is an APA milestone payable if TECELRA quarterly US net revenue reaches $18 million; no document read reports it as achieved."
Tecelra,2026Q1,Total,,USD,"Adaptimmune 8-K Ex-99.1, Adaptimmune Announces Delisting from Nasdaq (2025-10-20)",https://www.sec.gov/Archives/edgar/data/1621227/000110465925100618/adap-20251015xex99d1.htm,gap,"No public disclosure by US WorldMeds (private)."
Tecelra,2026Q2,Total,,USD,"Adaptimmune 8-K Ex-99.1, Adaptimmune Announces Delisting from Nasdaq (2025-10-20)",https://www.sec.gov/Archives/edgar/data/1621227/000110465925100618/adap-20251015xex99d1.htm,gap,"No public disclosure by US WorldMeds (private). Latest quarter in the study window as of 2026-09-04."
