product,period,region,revenue_musd,currency,source_doc,source_url,status,notes
Vyjuvek,2023Q3,Total,8.6,USD,"Krystal Biotech 8-K Ex-99.1, Third Quarter 2023 Financial Results and Business Update (2023-11-06)",https://www.sec.gov/Archives/edgar/data/1711279/000171127923000074/exhibit9912023-3q23pr.htm,verified-from-source,"First commercial quarter: 'The Company recorded its first sales for patients that began treatment in August 2023.' Nine months 2023 = 8.6. All US: no ex-US launch until August 2025 (Germany)."
Vyjuvek,2023Q4,Total,42.1,USD,"Krystal Biotech 8-K Ex-99.1, Fourth Quarter and Full Year 2023 Financial Results and Business Updates (2024-02-26)",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000009/krys12312023ex991pressrele.htm,verified-from-source,"All US."
Vyjuvek,2023FY,Total,50.7,USD,"Krystal Biotech 8-K Ex-99.1, Fourth Quarter and Full Year 2023 Financial Results and Business Updates (2024-02-26)",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000009/krys12312023ex991pressrele.htm,verified-from-source,"Annual aggregate row - do not double count (8.6 + 42.1)."
Vyjuvek,2024Q1,Total,45.3,USD,"Krystal Biotech 8-K Ex-99.1, First Quarter 2024 Financial Results and Business Updates (2024-05-06)",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000018/exhibit9912024-1q24pr.htm,verified-from-source,"All US."
Vyjuvek,2024Q2,Total,70.3,USD,"Krystal Biotech 8-K Ex-99.1, Second Quarter 2024 Financial Results and Business Updates (2024-08-05)",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000038/a2q24exhibit991prjune.htm,verified-from-source,"Release: +55.3% vs Q1 2024. All US."
Vyjuvek,2024H1,Total,115.5,USD,"Krystal Biotech 8-K Ex-99.1, Second Quarter 2024 Financial Results and Business Updates (2024-08-05)",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000038/a2q24exhibit991prjune.htm,verified-from-source,"Half-year aggregate - do not double count. Release states 115.5 although 45.3 + 70.3 = 115.6 (rounding of underlying thousands)."
Vyjuvek,2024Q3,Total,83.8,USD,"Krystal Biotech 8-K Ex-99.1, Third Quarter 2024 Financial Results and Business Updates (2024-11-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127924000055/a3q24exhibit991pr.htm,verified-from-source,"Nine months 2024 = 199.4 (per Q3 2025 release comparative). Release states $250.1 million cumulative since launch in August 2023 (= 50.7 + 199.4). All US."
Vyjuvek,2024Q4,Total,91.1,USD,"Krystal Biotech 8-K Ex-99.1, Fourth Quarter and Full Year 2024 Financial and Operating Results (2025-02-19)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000009/a4q24exhibit991pr.htm,verified-from-source,"All US."
Vyjuvek,2024FY,Total,290.5,USD,"Krystal Biotech 8-K Ex-99.1, Fourth Quarter and Full Year 2024 Financial and Operating Results (2025-02-19)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000009/a4q24exhibit991pr.htm,verified-from-source,"Annual aggregate row - do not double count (45.3 + 70.3 + 83.8 + 91.1 = 290.5)."
Vyjuvek,2025Q1,Total,88.2,USD,"Krystal Biotech 8-K Ex-99.1, First Quarter 2025 Financial and Operating Results (2025-05-06)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000045/a1q25exhibit991pr.htm,verified-from-source,"10-Q Q1 2026 comparative column: 88,183 thousand, all United States (Europe and Japan nil)."
Vyjuvek,2025Q1,US,88.183,USD,"Krystal Biotech 10-Q for the quarter ended 2026-03-31, Note 3 product revenue by geography (2026-05-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000043/krys-20260331.htm,verified-from-source,"Comparative column of Note 3; Europe and Japan shown as nil for Q1 2025."
Vyjuvek,2025Q2,Total,96.0,USD,"Krystal Biotech 8-K Ex-99.1, Second Quarter 2025 Financial and Operating Results (2025-08-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000078/a2q25exhibit991pr.htm,verified-from-source,"10-Q Q2 2026 comparative column: 96,042 thousand, all United States."
Vyjuvek,2025Q2,US,96.042,USD,"Krystal Biotech 10-Q for the quarter ended 2026-06-30, Note 3 product revenue by geography (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000057/krys-20260630.htm,verified-from-source,"Comparative column of Note 3; Europe and Japan nil for Q2 2025."
Vyjuvek,2025H1,Total,184.2,USD,"Krystal Biotech 8-K Ex-99.1, Second Quarter 2025 Financial and Operating Results (2025-08-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000078/a2q25exhibit991pr.htm,verified-from-source,"Half-year aggregate - do not double count. 10-Q: 184,225 thousand, all US."
Vyjuvek,2025H1,US,184.225,USD,"Krystal Biotech 10-Q for the quarter ended 2026-06-30, Note 3 product revenue by geography (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000057/krys-20260630.htm,verified-from-source,"Comparative column of Note 3."
Vyjuvek,2025Q3,Total,97.8,USD,"Krystal Biotech 8-K Ex-99.1, Third Quarter 2025 Financial and Operating Results (2025-11-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127925000088/a3q25exhibit991pr.htm,verified-from-source,"Nine months 2025 = 282.0. Germany launched late August 2025 so a small ex-US component exists, but the Q3 2025 10-Q gives no geographic split (fetch found no geography table)."
Vyjuvek,2025Q4,Total,107.1,USD,"Krystal Biotech 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial and Operating Results (2026-02-17)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000018/a4q25exhibit991pr.htm,verified-from-source,"France (Acces Precoce early access) and Japan launched October 2025. Q4 2025 US/ex-US split not obtained: FY2025 10-K fetch was truncated before the revenue note."
Vyjuvek,2025FY,Total,389.1,USD,"Krystal Biotech 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial and Operating Results (2026-02-17)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000018/a4q25exhibit991pr.htm,verified-from-source,"Annual aggregate row - do not double count (88.2 + 96.0 + 97.8 + 107.1). 10-K FY2025: 'Since our first commercial launch of VYJUVEK in the United States, we have reported $730.3 million in net product revenue.'"
Vyjuvek,2026Q1,Total,116.4,USD,"Krystal Biotech 8-K Ex-99.1, First Quarter 2026 Financial and Operating Results (2026-05-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000044/a1q26exhibit991pr.htm,verified-from-source,"Release: 'The Company recorded $116.4 million in VYJUVEK net product revenue for the first quarter of 2026, an increase of 32% compared to the prior year first quarter.' 10-Q: 116,357 thousand."
Vyjuvek,2026Q1,US,87.489,USD,"Krystal Biotech 10-Q for the quarter ended 2026-03-31, Note 3 product revenue by geography (2026-05-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000043/krys-20260331.htm,verified-from-source,"Note 3 geographic table (thousands: 87,489). US revenue slightly below Q1 2025 (88,183)."
Vyjuvek,2026Q1,Europe,20.677,USD,"Krystal Biotech 10-Q for the quarter ended 2026-03-31, Note 3 product revenue by geography (2026-05-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000043/krys-20260331.htm,verified-from-source,"Germany (launched Aug 2025) and France (Oct 2025, early access). Pre-negotiation prices: 'Pricing discussions with German and French reimbursement authorities are ongoing.'"
Vyjuvek,2026Q1,Japan,8.191,USD,"Krystal Biotech 10-Q for the quarter ended 2026-03-31, Note 3 product revenue by geography (2026-05-04)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000043/krys-20260331.htm,verified-from-source,"Japan launched October 2025."
Vyjuvek,2026Q2,Total,119.2,USD,"Krystal Biotech 8-K Ex-99.1, Second Quarter 2026 Financial and Operating Results (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000058/a2q26-ex991xpressrelease.htm,verified-from-source,"Latest reported quarter as of 2026-09-04. Release: '$119.2 million in global VYJUVEK net product revenue ... an increase of 24%'. 10-Q: 119,222 thousand. Cumulative since launch $965.9 million."
Vyjuvek,2026Q2,US,91.633,USD,"Krystal Biotech 10-Q for the quarter ended 2026-06-30, Note 3 product revenue by geography (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000057/krys-20260630.htm,verified-from-source,"Note 3 geographic table."
Vyjuvek,2026Q2,Europe,19.283,USD,"Krystal Biotech 10-Q for the quarter ended 2026-06-30, Note 3 product revenue by geography (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000057/krys-20260630.htm,verified-from-source,"Note 3 geographic table. UK approved May 2026 (no UK revenue yet); Italy and Spain launches expected before end 2026."
Vyjuvek,2026Q2,Japan,8.306,USD,"Krystal Biotech 10-Q for the quarter ended 2026-06-30, Note 3 product revenue by geography (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000057/krys-20260630.htm,verified-from-source,"Note 3 geographic table."
Vyjuvek,2026H1,Total,235.6,USD,"Krystal Biotech 8-K Ex-99.1, Second Quarter 2026 Financial and Operating Results (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000058/a2q26-ex991xpressrelease.htm,verified-from-source,"Half-year aggregate - do not double count. 10-Q: 235,579 thousand."
Vyjuvek,2026H1,US,179.122,USD,"Krystal Biotech 10-Q for the quarter ended 2026-06-30, Note 3 product revenue by geography (2026-08-03)",https://www.sec.gov/Archives/edgar/data/1711279/000171127926000057/krys-20260630.htm,verified-from-source,"Half-year aggregate."
