product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Yescarta,list_price,2017-10-18,US,373000,USD per treatment,"The list price of Yescarta in the United States is $373,000.","Kite's Yescarta (axicabtagene ciloleucel) Becomes First CAR T Therapy Approved by the FDA... (Gilead/Kite press release, 18 Oct 2017)",https://www.gilead.com/news/news-details/2017/kites-yescarta-axicabtagene-ciloleucel-becomes-first-car-t-therapy-approved-by-the-fda-for-the-treatment-of-adult-patients-with-relapsed-or-refractory-large-b-cell-lymphoma-after-two-or-more,verified-from-source,"Launch US list price, stated in Kite/Gilead FDA-approval press release. One-time single infusion; excludes hospitalisation/administration costs."
Yescarta,list_price,2022,US,399000,USD per treatment,"Table 1 (Yescarta, launch price $373,000, 18 October 2017): 2022 list price 399000; CAGR 6.32%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,provisional-from-snippet,"Secondary academic compilation of US list price by year, not a Kite/Gilead statement. Read from the article's price table. Corroborates the widely reported step-ups from $373,000 at launch."
Yescarta,list_price,2023,US,424000,USD per treatment,"Table 1 (Yescarta, launch price $373,000, 18 October 2017): 2023 list price 424000; CAGR 6.32%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,provisional-from-snippet,"Secondary academic compilation of US list price by year, not a Kite/Gilead statement. Read from the article's price table. Corroborates the widely reported step-ups from $373,000 at launch."
Yescarta,list_price,2024,US,462000,USD per treatment,"Table 1 (Yescarta, launch price $373,000, 18 October 2017): 2024 list price 462000; CAGR 6.32%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,provisional-from-snippet,"Secondary academic compilation of US list price by year, not a Kite/Gilead statement. Read from the article's price table. Corroborates the widely reported step-ups from $373,000 at launch."
Yescarta,list_price,2025,US,503580,USD per treatment,"Table 1 (Yescarta, launch price $373,000, 18 October 2017): 2025 list price 503580; CAGR 6.32%","CAR-T Therapy: Escalating Costs in an Expanding Market, Health Management, Policy and Innovation (HMPI), 18 Feb 2026, Table 1",https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,provisional-from-snippet,"Secondary academic compilation of US list price by year, not a Kite/Gilead statement. Read from the article's price table. Corroborates the widely reported step-ups from $373,000 at launch."
Yescarta,list_price,2023-01,UK-England,280451,GBP per single-infusion bag,"The list price for axicabtagene ciloleucel is 280,451 pounds per each 68 ml single-infusion bag (excluding VAT); Kite has agreed a confidential commercial arrangement (discount) with NHS England.","NICE technology appraisal TA894, 'Axicabtagene ciloleucel for treating relapsed or refractory follicular lymphoma', chapter 2 (Information about axicabtagene ciloleucel)",https://www.nice.org.uk/guidance/TA894/chapter/2-information-about-axicabtagene-ciloleucel,provisional-from-snippet,"Direct fetch of the NICE page returned HTTP 403; figure taken from search snippet of that page. Company-submitted list price; actual NHS price is a confidential discount, so revenue/list-price back-out will overstate UK price."
Yescarta,list_price,2021-04-21,Japan,34113655,JPY per treatment,"Yescarta was added to Japan's NHI reimbursement price list on April 21 with an initial NHI price of JPY34,113,655, adjusted downward by 4.3% to JPY32,647,761 on the same day under cost-effectiveness assessment rules.","PHARMA JAPAN, 'Yescarta to Join NHI Price List on April 21, Gets CEA-Tweak from Get-Go'",https://pj.jiho.jp/article/244220,provisional-from-snippet,"Paywalled trade press; taken from search snippet. Marketing authorisation was held by Daiichi Sankyo until transfer to Gilead in June 2023. Post-adjustment price JPY32,647,761."
Yescarta,patients_cumulative,2019-12-31,Global,2500,patients,"As of the end of 2019, Kite had 168 certified centers authorized to treat patients globally. Through these centers approximately 2,500 patients have been treated with YESCARTA.","Cryoport, Inc. Form 10-K for FY2019 (SEC EDGAR)",https://www.sec.gov/Archives/edgar/data/1124524/000110465920031407/tm205293-1_10k.htm,verified-from-source,"Yescarta-only, commercial (treated through certified/authorized treatment centres), excludes clinical-trial patients. Read directly in an SEC filing, but by Kite's logistics supplier Cryoport, not by Kite/Gilead. Best early calibration point."
Yescarta,patients_cumulative,2022-12-11,Global,11000,patients,"Over 11,000 patients have been treated with Kite's CAR T-cell therapies globally through more than 300 authorized treatment centers around the world, including 117 of the leading cancer hospitals in the U.S.","Time to CAR T-cell Therapy May Impact Outcomes for Patients With Relapsed/Refractory Large B-cell Lymphoma in New CIBMTR Analysis (Gilead/Kite press release, 11 Dec 2022)",https://www.gilead.com/news-and-press/press-room/press-releases/2022/12/time-to-car-t-cell-therapy-may-impact-outcomes-for-patients-with-relapsedrefractory-large-b-cell-lymphoma-in-new-cibmtr-analysis,verified-from-source,"ALL KITE CAR T PRODUCTS (Yescarta + Tecartus), not Yescarta-only. Commercial: 'through ... authorized treatment centers', so excludes clinical-trial patients. Stated as 'over', i.e. a floor."
Yescarta,patients_cumulative,2023-01-26,UK-England,500,patients,since then over 500 patients in England have received Yescarta,"Kite's Yescarta is First CAR T-cell Therapy Recommended for Routine Use in England, United Kingdom (Kite company statement, 26 Jan 2023)",https://www.kitepharma.com/news/company-statements/kite-yescarta-is-first-car-t-cell-therapy-recommended-for-routine-use--in-england-united-kingdom,verified-from-source,"YESCARTA-ONLY and England-only, commercial, cumulative since NHS England availability in Sept 2018. Stated as 'over', i.e. a floor."
Yescarta,patients_cumulative,2024-01-30,Global,17700,patients,"More than 17,700 patients have been treated with Kite's CAR T-cell therapies through these ATCs across the globe.","Kite Receives U.S. FDA Approval of Manufacturing Process Change Resulting in Reduced Median Turnaround Time for Yescarta CAR T-cell Therapy (Kite press release, 30 Jan 2024)",https://www.kitepharma.com/news/press-releases/2024/1/kite-receives-us-fda-approval-of-manufacturing-process-change-resulting-in-reduced-median-turnaround-time-for-yescarta-car-tcell-therapy,verified-from-source,"ALL KITE CAR T PRODUCTS (Yescarta + Tecartus). Commercial, via authorized treatment centres (ATCs); same release gives >135 ATCs in the US and >400 globally. 'More than', i.e. a floor."
Yescarta,patients_cumulative,2024-02-20,Global,19500,patients,"To date, Kite has treated more than 19,500 patients with its CAR-T therapies.","PharmaVoice, 'Kite's next-gen CAR-T aims include quicker production and more disease targets', 20 Feb 2024 (attributed to Cindy Perettie, EVP, Kite)",https://www.pharmavoice.com/news/kite-gilead-cart-cell-therapy-manufacturing/707856/,provisional-from-snippet,"ALL KITE CAR T PRODUCTS. Trade-press article quoting a Kite executive, not a Kite/Gilead document. Note the jump from 17,700 (30 Jan 2024) to 19,500 three weeks later suggests the two figures are not on an identical basis."
Yescarta,patients_cumulative,2025-01-10,Global,25000,patients,"More than 25,000 patients have been treated with Kite's CAR T-cell therapies","STAT sponsored content by Kite, 'Bringing the curative potential of CAR T-cell therapy to more eligible patients', 10 Jan 2025",https://www.statnews.com/sponsor/2025/01/10/bringing-the-curative-potential-of-car-t-cell-therapy-to-more-eligible-patients/,verified-from-source,"ALL KITE CAR T PRODUCTS. Kite-authored sponsored content (company statement in a media outlet). Same piece gives a network of 500+ ATCs worldwide. 'More than', i.e. a floor."
Yescarta,patients_cumulative,2025-08,Global,31000,patients,"More than 31,000 patients worldwide have received a Kite CAR T-cell therapy. With the largest in-house cell therapy manufacturing network, we're expanding access through speed, capacity and reliability.","Kite Pharma, Inc. official LinkedIn post ('31,000+ Patients Treated with a Kite CAR...')",https://www.linkedin.com/posts/kite-pharma-inc-_31000-patients-treated-with-a-kite-car-activity-7360706994611089411-qBXx,provisional-from-snippet,ALL KITE CAR T PRODUCTS. Kite's own corporate social account but not a press release / filing; post dated approx Aug 2025 (shown as '1y' as of Sep 2026). Latest cumulative figure located.
Yescarta,centres,2017-10-18,US,16,authorized/certified treatment centres,"Upon approval Kite provided final site certification to 16 centers, was actively training more than 30 additional centers, and expected an eventual network of 70 to 90 centers across the United States.","Kite's Yescarta (axicabtagene ciloleucel) Becomes First CAR T Therapy Approved by the FDA... (Gilead/Kite press release, 18 Oct 2017)",https://www.gilead.com/news/news-details/2017/kites-yescarta-axicabtagene-ciloleucel-becomes-first-car-t-therapy-approved-by-the-fda-for-the-treatment-of-adult-patients-with-relapsed-or-refractory-large-b-cell-lymphoma-after-two-or-more,verified-from-source,Yescarta launch. Paraphrase assembled by the fetch tool from the release's certification paragraph; the 16 / 70-90 figures are the release's.
Yescarta,centres,2019-12-31,Global,168,certified treatment centres,"As of the end of 2019, Kite had 168 certified centers authorized to treat patients globally.","Cryoport, Inc. Form 10-K for FY2019 (SEC EDGAR)",https://www.sec.gov/Archives/edgar/data/1124524/000110465920031407/tm205293-1_10k.htm,verified-from-source,Third-party SEC filing (Kite's logistics supplier).
Yescarta,centres,2022-04-01,US,112,authorized treatment centres,Yescarta can be accessed at 112 authorized treatment centers across the U.S.,"Yescarta Receives U.S. FDA Approval as First CAR T-cell Therapy for Initial Treatment of Relapsed or Refractory Large B-cell Lymphoma (LBCL) (Kite press release, 1 Apr 2022)",https://www.kitepharma.com/news/press-releases/2022/4/yescarta-receives-us-fda-approval-as-first-car-tcell-therapy-for-initial-treatment-of-relapsed-or-refractory-large-bcell-lymphoma-lbcl,verified-from-source,Yescarta-specific US ATC count.
Yescarta,centres,2022-04-19,Global,275,authorized treatment centres,"Kite therapies are available at over 275 ATCs around the world, including more than 110 leading cancer hospitals in the U.S.","Kite Receives U.S. FDA Approval of New State-of-the-Art CAR T-Cell Therapy Manufacturing Facility in Maryland (Kite press release, 19 Apr 2022)",https://www.kitepharma.com/news/press-releases/2022/4/kite-receives-us-fda-approval-of-new-stateoftheart-car-tcell-therapy-manufacturing-facility-in-maryland,verified-from-source,All Kite therapies. 'Over 275' globally; >110 in the US.
Yescarta,centres,2022-08-31,Global,300,qualified treatment centres,"Kite currently has more than 300 qualified treatment centers globally, including in the U.S., Australia, Canada and Europe, as well as through our joint venture in China and our licensing partner in Japan.","Kite Launches CAR T-cell Therapy Operations in Brazil, Singapore and Saudi Arabia (Kite company statement, 31 Aug 2022)",https://www.kitepharma.com/news/company-statements/kite-launches-car-t-cell-therapy-operations-in-brazil-singapore-and-saudi-arabia,verified-from-source,All Kite therapies.
Yescarta,centres,2022-12-11,Global,300,authorized treatment centres,"Over 11,000 patients have been treated with Kite's CAR T-cell therapies globally through more than 300 authorized treatment centers around the world, including 117 of the leading cancer hospitals in the U.S.","Time to CAR T-cell Therapy May Impact Outcomes... New CIBMTR Analysis (Gilead/Kite press release, 11 Dec 2022)",https://www.gilead.com/news-and-press/press-room/press-releases/2022/12/time-to-car-t-cell-therapy-may-impact-outcomes-for-patients-with-relapsedrefractory-large-b-cell-lymphoma-in-new-cibmtr-analysis,verified-from-source,"All Kite therapies; >300 global, 117 US."
Yescarta,centres,2023-06-22,Japan,6,authorized hospitals,There are now a total of six hospitals in Japan authorized to administer the therapy with many more anticipated by the end of the year.,"Kite Announces Completion of Marketing Authorization Transfer for Yescarta CAR T-cell Therapy in Japan (Kite press release, 22 Jun 2023)",https://www.kitepharma.com/news/press-releases/2023/6/kite-announces-completion-of-marketing-authorization-transfer-for-yescarta-car-t-cell-therapy-in-japan,verified-from-source,"Yescarta, Japan only."
Yescarta,centres,2024-01-30,Global,400,authorized treatment centres,"Kite has more than 135 authorized treatment centers in the U.S. and over 400 globally; more than 17,700 patients have been treated with Kite's CAR T-cell therapies through these ATCs across the globe.","Kite Receives U.S. FDA Approval of Manufacturing Process Change... for Yescarta CAR T-cell Therapy (Kite press release, 30 Jan 2024)",https://www.kitepharma.com/news/press-releases/2024/1/kite-receives-us-fda-approval-of-manufacturing-process-change-resulting-in-reduced-median-turnaround-time-for-yescarta-car-tcell-therapy,verified-from-source,"All Kite therapies; >400 global, >135 US."
