product,period,region,revenue_musd,currency,source_doc,source_url,status,notes
Yescarta,2017Q4,US,7,USD,"Gilead Sciences Announces Fourth Quarter and Full Year 2018 Financial Results (press release, 4 Feb 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/2/gilead-sciences-announces-fourth-quarter-and-full-year-2018-financial-results,verified-from-source,Prior-year comparative column in the FY2018 release; Yescarta launched Oct 2017 (US only). Europe/Other shown as em-dash. Region labels in source: United States / Europe / Other International / Total
Yescarta,2017Q4,Europe,,USD,"Gilead Sciences Announces Fourth Quarter and Full Year 2018 Financial Results (press release, 4 Feb 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/2/gilead-sciences-announces-fourth-quarter-and-full-year-2018-financial-results,verified-from-source,reported as em-dash (nil)
Yescarta,2017Q4,Other,,USD,"Gilead Sciences Announces Fourth Quarter and Full Year 2018 Financial Results (press release, 4 Feb 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/2/gilead-sciences-announces-fourth-quarter-and-full-year-2018-financial-results,verified-from-source,reported as em-dash (nil)
Yescarta,2017Q4,Total,7,USD,"Gilead Sciences Announces Fourth Quarter and Full Year 2018 Financial Results (press release, 4 Feb 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/2/gilead-sciences-announces-fourth-quarter-and-full-year-2018-financial-results,verified-from-source,
Yescarta,2018Q1,US,40,USD,"Gilead Sciences Announces First Quarter 2019 Financial Results (press release, 30 Apr 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/5/gilead-sciences-announces-first-quarter-2019-financial-results,verified-from-source,Prior-year comparative column. Region labels in source: United States / Europe / Other International / Total
Yescarta,2018Q1,Europe,0,USD,"Gilead Sciences Announces First Quarter 2019 Financial Results (press release, 30 Apr 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/5/gilead-sciences-announces-first-quarter-2019-financial-results,verified-from-source,
Yescarta,2018Q1,Other,0,USD,"Gilead Sciences Announces First Quarter 2019 Financial Results (press release, 30 Apr 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/5/gilead-sciences-announces-first-quarter-2019-financial-results,verified-from-source,
Yescarta,2018Q1,Total,40,USD,"Gilead Sciences Announces First Quarter 2019 Financial Results (press release, 30 Apr 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/5/gilead-sciences-announces-first-quarter-2019-financial-results,verified-from-source,
Yescarta,2018Q2,US,68,USD,"Gilead Sciences Announces Second Quarter 2019 Financial Results (press release, 30 Jul 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/7/gilead-sciences-announces-second-quarter-2019-financial-results,verified-from-source,Prior-year comparative column. Region labels in source: United States / Europe / Other International / Total
Yescarta,2018Q2,Europe,0,USD,"Gilead Sciences Announces Second Quarter 2019 Financial Results (press release, 30 Jul 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/7/gilead-sciences-announces-second-quarter-2019-financial-results,verified-from-source,
Yescarta,2018Q2,Other,0,USD,"Gilead Sciences Announces Second Quarter 2019 Financial Results (press release, 30 Jul 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/7/gilead-sciences-announces-second-quarter-2019-financial-results,verified-from-source,
Yescarta,2018Q2,Total,68,USD,"Gilead Sciences Announces Second Quarter 2019 Financial Results (press release, 30 Jul 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/7/gilead-sciences-announces-second-quarter-2019-financial-results,verified-from-source,
Yescarta,2018Q3,US,75,USD,"Gilead Sciences Announces Third Quarter 2019 Financial Results (press release, 29 Oct 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/10/gilead-sciences-announces-third-quarter-2019-financial-results,verified-from-source,Prior-year comparative column. Region labels in source: United States / Europe / Other International / Total
Yescarta,2018Q3,Europe,0,USD,"Gilead Sciences Announces Third Quarter 2019 Financial Results (press release, 29 Oct 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/10/gilead-sciences-announces-third-quarter-2019-financial-results,verified-from-source,
Yescarta,2018Q3,Other,0,USD,"Gilead Sciences Announces Third Quarter 2019 Financial Results (press release, 29 Oct 2019)",https://www.gilead.com/news-and-press/press-room/press-releases/2019/10/gilead-sciences-announces-third-quarter-2019-financial-results,verified-from-source,
