product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Zevaskyn,list_price,2025-04-28,US,,USD per treatment (WAC),"","Abeona Therapeutics 8-K Ex-99.1, First Quarter 2025 Financial Results and Corporate Updates (2025-05-15)",https://www.sec.gov/Archives/edgar/data/318306/000164117225010514/ex99-1.htm,gap,"Not stated in the Q1 2025, Q3 2025, March 2026, FY2025, Q1 2026 or Q2 2026 releases; drugs.com blocked; WebSearch quota exhausted. Trade press at approval widely reported a WAC of $3.1 million per treatment - UNVERIFIED here. Company data imply net revenue per treated patient of $2.42M (Q4 2025, Medicaid) and ~$2.9M (Q1 2026)."
Zevaskyn,centres,2025-05-15,US,1,qualified treatment centres activated,"activation of Ann & Robert H. Lurie Children's Hospital of Chicago...as the first of five QTCs for ZEVASKYN","Abeona Therapeutics 8-K Ex-99.1, First Quarter 2025 Financial Results and Corporate Updates (2025-05-15)",https://www.sec.gov/Archives/edgar/data/318306/000164117225010514/ex99-1.htm,verified-from-source,"'Abeona expects to activate all five QTCs by the end of 2025'."
Zevaskyn,patients_cumulative,2025-05-15,US,30,patients and caregivers registering in Abeona Assist,"approximately 30 patients and caregivers have started registering in the Abeona Assist patient services program","Abeona Therapeutics 8-K Ex-99.1, First Quarter 2025 Financial Results and Corporate Updates (2025-05-15)",https://www.sec.gov/Archives/edgar/data/318306/000164117225010514/ex99-1.htm,verified-from-source,"Registrations, not treatments."
Zevaskyn,statement,2025-05-15,US,,launch timing / payer agreements,"The first patient is expected to be treated in the third quarter of 2025 ... Abeona has executed value-based agreements with several commercial payer groups representing dozens of downstream plans and approximately 100 million commercially-insured lives","Abeona Therapeutics 8-K Ex-99.1, First Quarter 2025 Financial Results and Corporate Updates (2025-05-15)",https://www.sec.gov/Archives/edgar/data/318306/000164117225010514/ex99-1.htm,verified-from-source,"First treatment slipped to December 2025."
Zevaskyn,centres,2025-11-12,US,3,qualified treatment centres activated,"With the recent activation of Children's Hospital Colorado (CHCO), a highly recognized epidermolysis bullosa (EB) center, there are now three activated ZEVASKYN treatment centers","Abeona Therapeutics 8-K Ex-99.1, Third Quarter 2025 Financial Results and Corporate Updates (2025-11-12)",https://www.sec.gov/Archives/edgar/data/318306/000149315225021721/ex99-1.htm,verified-from-source,"'Several additional centers across the US are in various stages of site onboarding.'"
Zevaskyn,patients_cumulative,2025-11-12,US,12,product order forms received (cumulative),"Of the more than a dozen initial patients identified at the first two QTCs, Abeona has already received ZEVASKYN product order forms (ZPOFs) for 12 patients and they are in the process of scheduling treatments.","Abeona Therapeutics 8-K Ex-99.1, Third Quarter 2025 Financial Results and Corporate Updates (2025-11-12)",https://www.sec.gov/Archives/edgar/data/318306/000149315225021721/ex99-1.htm,verified-from-source,"Order forms precede biopsy, manufacturing (~weeks) and surgical application; none treated by 2025-09-30."
Zevaskyn,patients_cumulative,2025-11-12,US,30,eligible patients identified at QTCs,"ZEVASKYN demand has more than doubled at QTCs, with approximately 30 eligible patients now identified.","Abeona Therapeutics 8-K Ex-99.1, Third Quarter 2025 Financial Results and Corporate Updates (2025-11-12)",https://www.sec.gov/Archives/edgar/data/318306/000149315225021721/ex99-1.htm,verified-from-source,""
Zevaskyn,statement,2025-11-12,US,,payer coverage,"Policies covering ZEVASKYN have been published by all major commercial payers including United Healthcare, Cigna, Aetna, Anthem, and most Blue Cross Blue Shield plans, that account for 80 percent of lives covered by commercial insurance ... Centers for Medicare and Medicaid Services (CMS) has established a permanent Healthcare Common Procedure Coding System (HCPCS) J-code for ZEVASKYN, J3389","Abeona Therapeutics 8-K Ex-99.1, Third Quarter 2025 Financial Results and Corporate Updates (2025-11-12)",https://www.sec.gov/Archives/edgar/data/318306/000149315225021721/ex99-1.htm,verified-from-source,"J-code effective 2026-01-01."
Zevaskyn,patients_period,2025-12-31,US,1,commercial patients treated in Q4 2025,"First ZEVASKYN commercial patient treatment completed in December","Abeona Therapeutics 8-K Ex-99.1, Full Year 2025 Financial Results and Corporate Updates (2026-03-17)",https://www.sec.gov/Archives/edgar/data/318306/000149315226010408/ex99-1.htm,verified-from-source,"Medicaid patient; $2.42M net revenue."
Zevaskyn,statement,2026-03-17,US,,manufacturing / payer mix,"mandatory annual manufacturing facility shutdown ... resuming manufacturing in late January 2026 ... While net product revenue reflects Medicaid coverage for the patient treated in December, the Company expects average net revenues to normalize over time as the payer mix expands to include commercially insured patients.","Abeona Therapeutics 8-K Ex-99.1, Full Year 2025 Financial Results and Corporate Updates (2026-03-17)",https://www.sec.gov/Archives/edgar/data/318306/000149315226010408/ex99-1.htm,verified-from-source,"Supply pause between the first treatment and late January 2026."
Zevaskyn,centres,2026-03-17,US,4,qualified treatment centres activated,"activation of The University of Texas Medical Branch (UTMB), in Galveston, Texas, as the fourth QTC for ZEVASKYN","Abeona Therapeutics 8-K Ex-99.1, Full Year 2025 Financial Results and Corporate Updates (2026-03-17)",https://www.sec.gov/Archives/edgar/data/318306/000149315226010408/ex99-1.htm,verified-from-source,"'One patient has completed treatment with ZEVASKYN so far in 2026' (as of 2026-03-17)."
Zevaskyn,statement,2026-03-09,US,,treatment activity / coverage,"Since resuming manufacturing in late January 2026, multiple biopsies have been collected, a patient has completed treatment with ZEVASKYN, and there are ongoing manufacturing runs. ... ZEVASKYN has also secured coverage across all Medicaid programs.","Abeona Therapeutics 8-K Ex-99.1, Business Update Highlighting Building Momentum in ZEVASKYN Commercial Launch (2026-03-09)",https://www.sec.gov/Archives/edgar/data/318306/000149315226009299/ex99-1.htm,verified-from-source,""
Zevaskyn,patients_period,2026-03-31,US,3,patients treated in Q1 2026,"Three patients treated with ZEVASKYN in Q1 2026","Abeona Therapeutics 8-K Ex-99.1, First Quarter 2026 Results and Pipeline Update (2026-05-13)",https://www.sec.gov/Archives/edgar/data/318306/000149315226022610/ex99-1.htm,verified-from-source,"Also: 'one treatment to date in the second quarter', 'one biopsy currently in manufacturing process', 'six additional patients expected to be biopsied in the second quarter, three of whom have biopsies scheduled'."
Zevaskyn,centres,2026-05-13,US,6,qualified treatment centres activated,"Qualified treatment center (QTC) network expands to six sites with the activation of New York-Presbyterian / Columbia University Irving Medical Center in New York, NY and Children's Hospital of Philadelphia (CHOP)","Abeona Therapeutics 8-K Ex-99.1, First Quarter 2026 Results and Pipeline Update (2026-05-13)",https://www.sec.gov/Archives/edgar/data/318306/000149315226022610/ex99-1.htm,verified-from-source,""
Zevaskyn,statement,2026-05-13,US,,payer coverage,"Patient access to ZEVASKYN continues to grow with published coverage policies now in place for 95% of commercially insured U.S. lives.","Abeona Therapeutics 8-K Ex-99.1, First Quarter 2026 Results and Pipeline Update (2026-05-13)",https://www.sec.gov/Archives/edgar/data/318306/000149315226022610/ex99-1.htm,verified-from-source,""
Zevaskyn,patients_period,2026-06-30,US,5,patients treated in Q2 2026,"Five patients treated with ZEVASKYN in Q2 2026 and three treatments in Q3 2026 to-date; since launch, 12 treatments completed","Abeona Therapeutics 8-K Ex-99.1, Second Quarter 2026 Results and Business Update (2026-08-13)",https://www.sec.gov/Archives/edgar/data/318306/000149315226037575/ex99-1.htm,verified-from-source,"Revenue recognised for only three of the five (two failed yield / lot release)."
Zevaskyn,patients_cumulative,2026-08-13,US,12,treatments completed since launch,"Five patients treated with ZEVASKYN in Q2 2026 and three treatments in Q3 2026 to-date; since launch, 12 treatments completed","Abeona Therapeutics 8-K Ex-99.1, Second Quarter 2026 Results and Business Update (2026-08-13)",https://www.sec.gov/Archives/edgar/data/318306/000149315226037575/ex99-1.htm,verified-from-source,"1 (Dec 2025) + 3 (Q1 2026) + 5 (Q2 2026) + 3 (Q3 2026 to 2026-08-13) = 12. Best cumulative count as of 2026-09-04."
Zevaskyn,statement,2026-08-13,US,,revenue recognition,"Revenue was not recognized for two patients due to low manufacturing yield or not meeting lot release specifications","Abeona Therapeutics 8-K Ex-99.1, Second Quarter 2026 Results and Business Update (2026-08-13)",https://www.sec.gov/Archives/edgar/data/318306/000149315226037575/ex99-1.htm,verified-from-source,"Revenue depends on product meeting release specifications; treated-patient counts exceed revenue-generating patients."
Zevaskyn,centres,2026-08-13,US,7,qualified treatment centres activated,"Expanding QTC network now includes seven sites nationwide","Abeona Therapeutics 8-K Ex-99.1, Second Quarter 2026 Results and Business Update (2026-08-13)",https://www.sec.gov/Archives/edgar/data/318306/000149315226037575/ex99-1.htm,verified-from-source,"'CHOP and University of Texas Medical Branch (UTMB) have commenced collection of patient biopsies, and CHOP has treated its first patient with ZEVASKYN'."
