product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes
Zolgensma (onasemnogene abeparvovec),list_price,2019-05-24,US,2125000,USD per treatment,"The wholesale acquisition cost of Zolgensma of USD 2.125 million is: ... Annualized cost of Zolgensma is USD 425,000 per year for 5 years",AveXis (Novartis) media release: AveXis Announces Innovative Zolgensma Gene Therapy Access Programs for US Payers and Families,https://www.novartis.com/news/media-releases/avexis-announces-innovative-zolgensma-gene-therapy-access-programs-us-payers-and-families,verified-from-source,Launch list price (WAC) on day of FDA approval; widely reported as $2.1m. Novartis offered 5-year outcomes-based instalment agreements.
Zolgensma (onasemnogene abeparvovec),list_price,2023-01-01,US,2188750,USD per treatment,"Zolgensma ... had the greatest price change from $2,125,000 in 2022 to $2,188,750 in 2023, an increase of $63,750","HHS/ASPE drug price tracking brief, Changes in the List Prices of Prescription Drugs 2017-2023 (via search snippet)",https://aspe.hhs.gov/sites/default/files/documents/0cdd88059165eef3bed1fc587a0fd68a/aspe-drug-price-tracking-brief.pdf,provisional-from-snippet,+3.0% WAC increase effective January 2023. Not read in full document.
Zolgensma (onasemnogene abeparvovec),list_price,2025-01-01,US,2322040,USD per treatment,"The initial wholesale acquisition cost (WAC) was $2,125,000, and today the WAC for Zolgensma is $2,322,040","IntuitionLabs, Most Expensive Drugs in the US: A 2025 Price List (secondary compilation)",https://intuitionlabs.ai/articles/most-expensive-drugs-usa-2025,provisional-from-snippet,Cumulative ~9.3% increase over launch WAC. Date approximate (as-of 2025 compilation).
"Itvisma (onasemnogene abeparvovec-brve, intrathecal)",list_price,2025-11-24,US,2590000,USD per treatment,Novartis is pricing Itvisma at a wholesale acquisition cost of $2.59 million,Fierce Pharma / Managed Healthcare Executive coverage of FDA approval of Itvisma,https://www.fiercepharma.com/pharma/novartis-scores-fda-approval-new-version-sma-gene-therapy-prices-259m,provisional-from-snippet,Intrathecal line extension approved by FDA 2025-11-24; sales are consolidated into Novartis 'Zolgensma Group' from Q4 2025. Novartis own release does not state price.
Zolgensma (onasemnogene abeparvovec),list_price,2020-05-20,Japan (NHI price),167077222,JPY per treatment,"Zolgensma was priced at 167,077,222 yen for one-time treatment by referring to Biogen Japan's SPINRAZA (nusinersen) as the comparative drug",Pharma Japan (Jiho): Zolgensma to Get Japan's Highest List Price 167 Million Yen,https://pj.jiho.jp/article/242056,provisional-from-snippet,Approx USD 1.55-1.6m at 2020 rates. Listed on NHI reimbursement price list 20 May 2020; subject to cost-effectiveness re-assessment.
Zolgensma (onasemnogene abeparvovec),list_price,2020-07-01,Germany,1945000,EUR per treatment,"Novartis launched its gene therapy Zolgensma for spinal muscular atrophy (SMA) in Germany at the start of July 2020 priced at 1,945,000 euros","pharmaphorum: Germany first in EU to get Novartis' SMA gene therapy, costing almost 2m euros",https://pharmaphorum.com/news/novartis-eyes-smart-deal-for-sma-gene-therapy-in-uk,provisional-from-snippet,Free-pricing launch price before AMNOG negotiation; outcomes-based agreements with sickness funds.
Zolgensma (onasemnogene abeparvovec),list_price,2021-03-08,England / NHS,1795000,GBP per treatment,"The list price for Zolgensma is 1,795,000 pounds (excluding VAT), but the company has a commercial arrangement in place making the gene therapy available to the NHS at a confidential discount",NHS England press release / NICE HST guidance coverage,https://www.england.nhs.uk/2021/03/nhs-england-strikes-deal-on-life-saving-gene-therapy-drug-that-can-help-babies-with-rare-genetic-disease-move-and-walk/,provisional-from-snippet,Net price to NHS England is CONFIDENTIAL - substantial undisclosed discount. Use list price only as an upper bound.
Zolgensma (onasemnogene abeparvovec),list_price,2021-03-18,Italy (AIFA),2155000,EUR per treatment,"Italy Reimburses Zolgensma Through 'Payment at Result' Model, Priced at EUR 2.155 M",EVERSANA market access news,https://www.eversana.com/2021/03/18/italy-reimburses-zolgensma-through-payment-at-result-model-priced-at-eur-2-155-m/,provisional-from-snippet,Payment-at-result / outcomes-based instalments; effective net price undisclosed.
Zolgensma (onasemnogene abeparvovec),patients_cumulative,2021-03-15,worldwide (clinical trials + managed access + commercial),1000,patients,"To date, more than 1,000 children with SMA have been treated with Zolgensma across clinical trials, managed access programs, and in the commercial setting","Novartis media release: New Zolgensma data demonstrate age-appropriate development when used early, real-world benefit in older children and durability 5+ years post-treatment",https://www.novartis.com/news/media-releases/new-zolgensma-data-demonstrate-age-appropriate-development-when-used-early-real-world-benefit-older-children-and-durability-5-years-post-treatment,verified-from-source,Lower bound ('more than'). Approved in 38 countries at this date.
Zolgensma (onasemnogene abeparvovec),patients_cumulative,2021-04-23,worldwide (clinical trials + managed access + commercial),1000,patients,"Zolgensma was approved in the U.S. in May 2019 and subsequently has been approved in 39 countries. To date, more than 1,000 patients have been treated with Zolgensma across clinical trials, managed access programs, and in the commercial setting.",Novartis media release: Novartis to initiate SMART Phase 3b global study of Zolgensma in children up to 21 kg,https://www.novartis.com/news/media-releases/novartis-initiate-smart-phase-3b-global-study-zolgensma-children-21-kg-building-real-world-experience,verified-from-source,Lower bound. 39 countries approved.
Zolgensma (onasemnogene abeparvovec),patients_cumulative,2021-06-18,worldwide (clinical trials + managed access + commercial),1200,patients,"More than 1,200 patients have now been treated with Zolgensma globally across clinical trials, managed access programs, and in the commercial setting.","Novartis media release: New Zolgensma data demonstrate age-appropriate development when used presymptomatically and rapid, clinically meaningful efficacy in symptomatic children",https://www.novartis.com/news/media-releases/new-zolgensma-data-demonstrate-age-appropriate-development-when-used-presymptomatically-and-rapid-clinically-meaningful-efficacy-symptomatic-children-even-those-severe-sma-baseline,verified-from-source,Lower bound. 40 countries approved.
Zolgensma (onasemnogene abeparvovec),patients_cumulative,2022-03-14,worldwide (clinical trials + managed access + commercial),1800,patients,"Zolgensma is now approved in more than 40 countries and more than 1,800 patients have been treated with Zolgensma globally across clinical trials, managed access programs, and in the commercial setting.",Novartis media release: Novartis data again demonstrate age-appropriate development when Zolgensma is used presymptomatically,https://www.novartis.com/news/media-releases/novartis-data-again-demonstrate-age-appropriate-development-when-zolgensma-used-presymptomatically-and-post-hoc-data-reveal-sma-type-1-patients-could-speak-swallow-and-maintain-airway-protection,verified-from-source,Lower bound.
Zolgensma (onasemnogene abeparvovec),patients_cumulative,2022-04-05,worldwide (clinical trials + managed access + commercial),1800,patients,"Approved in more than 40 countries, to date, more than 1,800 patients have been treated with Zolgensma globally, including in clinical trials, managed access programs and in the commercial setting.",Novartis media release: Novartis expands Zolgensma manufacturing capacity with approval of multi-product North Carolina facility,https://www.novartis.com/news/media-releases/novartis-expands-zolgensma-manufacturing-capacity-approval-multi-product-north-carolina-facility,verified-from-source,Lower bound.
Zolgensma (onasemnogene abeparvovec),patients_cumulative,2022-06-17,worldwide (clinical trials + managed access + commercial),2000,patients,"Zolgensma is now approved in more than 40 countries and more than 2,000 patients have been treated with Zolgensma globally across clinical trials, managed access programs, and in the commercial setting.",Novartis media release: Novartis announces Nature Medicine publication of Zolgensma data demonstrating age-appropriate milestones when treating children with SMA presymptomatically,https://www.novartis.com/news/media-releases/novartis-announces-nature-medicine-publication-zolgensma-data-demonstrating-age-appropriate-milestones-when-treating-children-sma-presymptomatically,verified-from-source,Lower bound.
Zolgensma (onasemnogene abeparvovec),patients_cumulative,2023-03-20,worldwide (clinical trials + managed access + commercial),3000,patients,"Zolgensma is now approved in more than 47 countries and more than 3,000 patients have been treated with Zolgensma globally across clinical trials, managed access programs, and in the commercial setting.",Novartis media release: Novartis shares Zolgensma long-term data demonstrating sustained durability up to 7.5 years post-dosing,https://www.novartis.com/news/media-releases/novartis-shares-zolgensma-long-term-data-demonstrating-sustained-durability-75-years-post-dosing-100-achievement-all-assessed-milestones-children-treated-prior-sma-symptom-onset,verified-from-source,Lower bound. 47 countries.
