product,period,region,revenue_musd,currency,source_doc,source_url,status,notes
Zolgensma (onasemnogene abeparvovec),2019Q2,Total (worldwide),15,USD,"Novartis Interim Financial Report Q2 2020 (Form 6-K Ex-99.2), prior-year column",https://www.sec.gov/Archives/edgar/data/1114448/000137036820000069/a200721-99_2.htm,verified-from-source,"First quarter with sales; FDA approval 24 May 2019, US launch June 2019 | Novartis top-20 brand table reports worldwide total only; no US / ex-US split is disclosed at product level."
Zolgensma (onasemnogene abeparvovec),2019Q3,Total (worldwide),160,USD,"Novartis Interim Financial Report Q3 2020 (Form 6-K Ex-99.2), prior-year column",https://www.sec.gov/Archives/edgar/data/1114448/000137036820000086/a201027-99_2.htm,verified-from-source,Novartis top-20 brand table reports worldwide total only; no US / ex-US split is disclosed at product level.
Zolgensma (onasemnogene abeparvovec),2019Q4,Total (worldwide),186,USD,"Novartis Interim Financial Report Q4/FY2020 (Form 6-K Ex-99.2), prior-year column",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000008/a210126-99_2.htm,verified-from-source,Novartis top-20 brand table reports worldwide total only; no US / ex-US split is disclosed at product level.
Zolgensma (onasemnogene abeparvovec),FY2019,Total (worldwide),361,USD,"Novartis Interim Financial Report Q4/FY2020 (Form 6-K Ex-99.2), prior-year column",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000008/a210126-99_2.htm,verified-from-source,Annual total; equals Q2+Q3+Q4 2019 | Novartis top-20 brand table reports worldwide total only; no US / ex-US split is disclosed at product level.
Zolgensma (onasemnogene abeparvovec),2020Q1,Total (worldwide),170,USD,Novartis Interim Financial Report Q1 2020 (Form 6-K Ex-99.2),https://www.sec.gov/Archives/edgar/data/1114448/000137036820000061/a200428-99_2.htm,verified-from-source,Novartis top-20 brand table reports worldwide total only; no US / ex-US split is disclosed at product level.
Zolgensma (onasemnogene abeparvovec),2020Q2,Total (worldwide),205,USD,Novartis Interim Financial Report Q2 2020 (Form 6-K Ex-99.2),https://www.sec.gov/Archives/edgar/data/1114448/000137036820000069/a200721-99_2.htm,verified-from-source,H1 2020 = USD 375m | Novartis top-20 brand table reports worldwide total only; no US / ex-US split is disclosed at product level.
Zolgensma (onasemnogene abeparvovec),2020Q3,Total (worldwide),291,USD,Novartis Interim Financial Report Q3 2020 (Form 6-K Ex-99.2),https://www.sec.gov/Archives/edgar/data/1114448/000137036820000086/a201027-99_2.htm,verified-from-source,9M 2020 = USD 666m | Novartis top-20 brand table reports worldwide total only; no US / ex-US split is disclosed at product level.
Zolgensma (onasemnogene abeparvovec),2020Q4,Total (worldwide),254,USD,Novartis Interim Financial Report Q4/FY2020 (Form 6-K Ex-99.2),https://www.sec.gov/Archives/edgar/data/1114448/000137036821000008/a210126-99_2.htm,verified-from-source,"+37% USD, +33% cc | Novartis top-20 brand table reports worldwide total only; no US / ex-US split is disclosed at product level."
Zolgensma (onasemnogene abeparvovec),FY2020,Total (worldwide),920,USD,Novartis Interim Financial Report Q4/FY2020 (Form 6-K Ex-99.2),https://www.sec.gov/Archives/edgar/data/1114448/000137036821000008/a210126-99_2.htm,verified-from-source,+155% USD; equals sum of 2020 quarters | Novartis top-20 brand table reports worldwide total only; no US / ex-US split is disclosed at product level.
Zolgensma (onasemnogene abeparvovec),2021Q1,Total (worldwide),319,USD,"Novartis Financial Report Q1 2021 (Form 6-K Ex-99.1), Net sales of the top 20 Innovative Medicines products",https://www.sec.gov/Archives/edgar/data/1114448/000137036821000041/a210427-99_1.htm,verified-from-source,"+88% USD, +81% cc | Novartis top-20 brand table reports worldwide total only; no US / ex-US split is disclosed at product level."
