product,cohort_product,platform_class,regimen,patient_unit,total_series_basis,fda_approval_date,eu_authorisation_date,first_revenue_quarter,months_fda_to_first_revenue_qend,months_first_approval_to_first_revenue_qend,quarters_with_revenue,quarters_allocated,last_quarter,cumulative_revenue_usd_m,list_price_usd,price_source,price_note,cumulative_patients_low,cumulative_patients_central,latest_disclosed_count,us_cumulative_low,us_cumulative_central,europe_cumulative_central
abecma,Abecma,autologous CAR-T,one-time,patients,Total as reported,2021-03-26,2021-08-18,2021Q2,3.2,3.2,19,0,2025Q4,1857.0,419500.0,https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,"verified-from-source; USD per treatment; CAR-T Therapy: Escalating Costs in an Expanding Market, Heal",4427,5825,,3013,3965,1866
amtagvi,Amtagvi,tumour-infiltrating lymphocytes,one-time,patients,Total as reported,2024-02-16,,2024Q2,4.4,4.4,10,0,2026Q2,475.3,515000.0,https://search.brave.com/search?q=Iovance+Amtagvi+lifileucel+price+%24515%2C000+wholesale+acquisition+cost&source=web,"provisional-from-snippet; USD per treatment; Reuters (2024-02-17), as shown in Brave search results; corr",923,1214,,923,1214,
aucatzyl,Aucatzyl,autologous CAR-T,one-time,patients,Total as reported,2024-11-08,2025-07-17,2025Q1,4.7,4.7,7,0,2026Q2,146.2,525000.0,https://www.sec.gov/Archives/edgar/data/1730463/000173046324000129/autlex-992cp111124.htm,"verified-from-source; USD per treatment (WAC); Autolus Therapeutics 8-K Ex-99.2, AUCATZYL FDA approval conf",278,366,,,,
breyanzi,Breyanzi,autologous CAR-T,one-time,patients,Total as reported,2021-02-05,2022-04-04,2021Q2,4.8,4.8,21,0,2026Q2,3633.0,410300.0,https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,"verified-from-source; USD per treatment; CAR-T Therapy: Escalating Costs in an Expanding Market, Heal",8854,11651,,6749,8880,2777
carvykti,Carvykti,autologous CAR-T,one-time,patients,Total as reported,2022-02-28,2022-05-25,2022Q2,4.0,4.0,17,0,2026Q2,4737.0,465000.0,https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,"verified-from-source; USD per treatment; CAR-T Therapy: Escalating Costs in an Expanding Market, Heal",10187,13404,,8318,10945,2456
casgevy,Casgevy,CRISPR ex vivo,one-time,patients,Total as reported,2023-12-08,2024-02-09,2024Q3,9.8,9.8,11,0,2026Q2,245.1,2200000.0,https://www.biopharmadive.com/news/crispr-fda-approval-sickle-cell-gene-editing-vertex-casgevy/701522/,"provisional-from-snippet; USD per treatment; BioPharma Dive, ""CRISPR therapy for sickle cell approved by ",111,147,"100 (patients_cell_collection, 2026-06-30, provisional-from-snippet)",,,
elevidys,Elevidys,AAV systemic,one-time,patients,US series used as total (US-only reporting),2023-06-22,,2023Q3,3.3,3.3,12,0,2026Q2,2120.0,3200000.0,https://www.managedhealthcareexecutive.com/view/first-gene-therapy-for-duchenne-priced-at-3-2-million,"provisional-from-snippet; USD per treatment; Managed Healthcare Executive, First Gene Therapy for Duchenn",662,872,,662,872,
hemgenix,Hemgenix,AAV systemic,one-time,patients,Total as reported,2022-11-22,2023-02-20,2023Q3,10.2,10.2,12,12,2026Q2,241.8,3500000.0,https://www.cnn.com/2022/11/23/health/hemophilia-drug-hemgenix/,provisional-from-snippet; USD per treatment; CNN Health 23 Nov 2022,69,91,"100 (patients_cumulative, 2026-07-28, verified-from-source)",,,
kresladi,Kresladi,lentiviral ex vivo,one-time,patients,Total as reported,2026-03-26,,,,,2,0,2026Q2,0.0,,,NO PRICE: patients not computed; add a US list_price row to the disclosure file,,,,,,
kymriah,Kymriah,autologous CAR-T,one-time,patients,Total as reported,2017-08-30,2018-08-23,2017Q4,4.0,4.0,35,0,2026Q2,3396.0,475000.0,https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,"verified-from-source; USD per treatment; CAR-T Therapy: Escalating Costs in an Expanding Market, Heal",7149,9407,"5300 (patients_cumulative, 2021-09-30, verified-from-source)",227,299,
